vulnerability_id,asset_id,cve_id,cvss_score,severity,exploitability,known_exploited,first_seen,days_open,patch_available
V0052,A079,CVE-2023-30021,7.6,High,Medium,No,2026-07-15,45,Yes
V0053,A122,CVE-2024-20012,5.1,Medium,Low,No,2026-08-01,28,No
V0054,A088,CVE-2024-20012,8.5,High,High,Yes,2026-07-13,47,Yes
V0055,A131,CVE-2024-20012,8.4,High,Medium,No,2026-07-28,32,Yes
V0056,A135,CVE-2024-20012,8.1,High,Medium,No,2026-08-09,20,Yes
V0057,A021,CVE-2025-10002,9.6,Critical,High,Yes,2026-08-09,20,Yes
V0058,A120,CVE-2025-10001,6.0,Medium,Medium,No,2026-07-01,59,Yes
V0059,A105,CVE-2025-10110,5.4,Medium,Low,No,2026-07-08,52,Yes
V0060,A127,CVE-2025-10003,9.2,Critical,High,Yes,2026-08-12,17,Yes
V0061,A072,CVE-2024-20012,5.6,Medium,Low,No,2026-07-22,38,Yes
V0062,A021,CVE-2025-10002,5.7,Medium,Low,No,2026-08-01,28,Yes
V0063,A136,CVE-2025-10003,5.6,Medium,Low,No,2026-08-08,21,Yes
V0064,A107,CVE-2025-10003,5.1,Medium,Low,No,2026-08-10,19,Yes
V0065,A035,CVE-2025-10001,5.9,Medium,Low,No,2026-07-28,32,Yes
V0066,A041,CVE-2024-21009,8.2,High,Medium,No,2026-07-14,46,Yes
V0067,A093,CVE-2024-20012,9.1,Critical,High,No,2026-07-24,36,Yes
V0068,A003,CVE-2025-10110,7.6,High,Medium,No,2026-07-23,37,Yes
V0069,A128,CVE-2024-21009,9.8,Critical,High,No,2026-07-19,41,No
V0070,A064,CVE-2023-30021,8.4,High,Medium,No,2026-08-07,22,Yes
V0071,A035,CVE-2024-20011,9.6,Critical,High,No,2026-07-13,47,Yes
V0072,A079,CVE-2025-10003,9.6,Critical,High,Yes,2026-08-08,21,Yes
V0073,A036,CVE-2024-20011,9.8,Critical,High,Yes,2026-08-16,13,No
V0074,A057,CVE-2025-10002,5.5,Medium,Low,No,2026-08-09,20,Yes
V0075,A032,CVE-2024-20012,5.4,Medium,Low,No,2026-08-13,16,Yes
V0076,A074,CVE-2025-10003,9.5,Critical,High,Yes,2026-07-29,31,Yes
V0077,A019,CVE-2024-20012,9.5,Critical,High,No,2026-07-31,29,Yes
V0078,A074,CVE-2023-30021,7.3,High,Medium,No,2026-07-14,46,No
V0079,A085,CVE-2025-10001,5.2,Medium,Low,No,2026-07-16,44,Yes
V0080,A025,CVE-2025-10001,5.2,Medium,Low,No,2026-07-22,38,Yes
V0081,A117,CVE-2024-21009,6.0,Medium,Medium,No,2026-08-11,18,Yes
V0082,A140,CVE-2025-10110,8.2,High,Medium,No,2026-08-23,6,Yes
V0083,A022,CVE-2025-10002,7.6,High,Medium,No,2026-07-15,45,No
V0084,A044,CVE-2025-10001,7.3,High,Medium,No,2026-07-15,45,Yes
V0085,A018,CVE-2024-20012,4.8,Medium,Low,No,2026-07-19,41,Yes
V0086,A041,CVE-2025-10002,4.2,Medium,Low,No,2026-08-09,20,Yes
V0087,A090,CVE-2025-10003,4.5,Medium,Low,No,2026-08-08,21,Yes
V0088,A058,CVE-2025-10001,9.1,Critical,High,No,2026-07-31,29,Yes
V0089,A015,CVE-2024-20012,4.4,Medium,Low,No,2026-08-20,9,Yes
V0090,A021,CVE-2024-20012,8.8,High,High,Yes,2026-07-01,59,Yes
V0091,A127,CVE-2025-10001,8.2,High,Medium,No,2026-08-19,10,Yes
V0092,A008,CVE-2025-10110,5.1,Medium,Low,No,2026-08-15,14,Yes
V0093,A051,CVE-2023-30021,7.1,High,Medium,No,2026-07-14,46,Yes
V0094,A017,CVE-2025-10001,5.9,Medium,Low,No,2026-08-24,5,Yes
V0095,A080,CVE-2025-10110,5.6,Medium,Low,No,2026-07-08,52,No
V0096,A012,CVE-2024-20011,6.4,Medium,Medium,No,2026-07-01,59,Yes
V0097,A116,CVE-2023-30021,5.1,Medium,Low,No,2026-08-09,20,Yes
V0098,A064,CVE-2024-20012,9.4,Critical,High,No,2026-08-11,18,Yes
V0099,A015,CVE-2024-20012,6.0,Medium,Medium,No,2026-07-22,38,Yes
V0100,A017,CVE-2025-10002,9.2,Critical,High,No,2026-08-25,4,Yes
V0101,A137,CVE-2023-30021,5.2,Medium,Low,No,2026-07-17,43,Yes
V0102,A006,CVE-2025-10002,6.0,Medium,Medium,No,2026-07-01,59,Yes
V0103,A088,CVE-2024-21009,4.3,Medium,Low,No,2026-08-14,15,Yes
V0104,A030,CVE-2023-30021,7.3,High,Medium,No,2026-07-31,29,Yes
V0105,A009,CVE-2025-10002,6.4,Medium,Medium,No,2026-07-15,45,Yes
V0106,A070,CVE-2024-20011,9.8,Critical,High,No,2026-08-12,17,Yes
V0107,A134,CVE-2025-10003,6.2,Medium,Medium,No,2026-07-10,50,Yes
V0108,A146,CVE-2023-30021,7.9,High,Medium,No,2026-07-12,48,Yes
V0109,A125,CVE-2024-20011,4.7,Medium,Low,No,2026-07-16,44,Yes
V0110,A027,CVE-2025-10003,8.0,High,Medium,No,2026-08-06,23,Yes
V0111,A103,CVE-2025-10003,5.7,Medium,Low,No,2026-08-01,28,Yes
V0112,A040,CVE-2025-10110,6.7,Medium,Medium,No,2026-08-06,23,Yes
V0113,A133,CVE-2024-20011,9.3,Critical,High,Yes,2026-07-21,39,Yes
V0114,A110,CVE-2025-10003,7.1,High,Medium,No,2026-08-13,16,No
V0115,A086,CVE-2024-21009,5.2,Medium,Low,No,2026-07-03,57,Yes
V0116,A105,CVE-2024-20012,8.5,High,High,Yes,2026-08-20,9,Yes
V0117,A083,CVE-2025-10001,5.1,Medium,Low,No,2026-07-20,40,Yes
V0118,A122,CVE-2024-21009,9.8,Critical,High,No,2026-07-15,45,Yes
V0119,A058,CVE-2024-20011,7.9,High,Medium,No,2026-07-04,56,Yes
V0120,A060,CVE-2023-30021,5.0,Medium,Low,No,2026-07-16,44,Yes
V0121,A039,CVE-2024-21009,8.4,High,Medium,No,2026-08-10,19,Yes
V0122,A017,CVE-2024-21009,4.6,Medium,Low,No,2026-07-11,49,Yes
V0123,A013,CVE-2025-10110,6.1,Medium,Medium,No,2026-08-16,13,Yes
V0124,A150,CVE-2025-10003,9.0,Critical,High,No,2026-07-13,47,Yes
V0125,A078,CVE-2024-21009,7.3,High,Medium,No,2026-08-06,23,Yes
V0126,A138,CVE-2024-20011,4.1,Medium,Low,No,2026-08-18,11,Yes
V0127,A094,CVE-2024-20012,5.8,Medium,Low,No,2026-08-07,22,Yes
V0128,A090,CVE-2025-10003,5.6,Medium,Low,No,2026-07-16,44,Yes
V0129,A075,CVE-2025-10003,8.3,High,Medium,No,2026-07-28,32,Yes
V0130,A053,CVE-2024-20012,5.2,Medium,Low,No,2026-07-11,49,Yes
V0131,A073,CVE-2025-10110,9.4,Critical,High,No,2026-08-07,22,Yes
V0132,A111,CVE-2024-20011,7.9,High,Medium,No,2026-07-12,48,Yes
V0133,A061,CVE-2025-10002,6.7,Medium,Medium,No,2026-07-28,32,Yes
V0134,A138,CVE-2025-10001,4.3,Medium,Low,No,2026-07-23,37,Yes
V0135,A040,CVE-2024-21009,6.5,Medium,Medium,No,2026-08-07,22,Yes
V0136,A120,CVE-2025-10110,8.2,High,Medium,No,2026-07-14,46,No
V0137,A016,CVE-2025-10003,8.6,High,High,No,2026-07-28,32,Yes
V0138,A004,CVE-2025-10003,9.6,Critical,High,No,2026-08-10,19,Yes
V0139,A064,CVE-2025-10110,9.9,Critical,High,No,2026-07-05,55,Yes
V0140,A035,CVE-2024-21009,5.5,Medium,Low,No,2026-07-16,44,Yes
V0141,A143,CVE-2025-10003,4.0,Medium,Low,No,2026-07-04,56,Yes
V0142,A081,CVE-2024-20012,9.9,Critical,High,No,2026-07-18,42,Yes
V0143,A106,CVE-2025-10110,6.8,Medium,Medium,No,2026-07-02,58,No
V0144,A119,CVE-2025-10002,4.9,Medium,Low,No,2026-08-14,15,Yes
V0145,A043,CVE-2023-30021,6.1,Medium,Medium,No,2026-07-04,56,Yes
V0146,A080,CVE-2025-10002,7.9,High,Medium,No,2026-08-09,20,Yes
V0147,A062,CVE-2025-10110,9.5,Critical,High,No,2026-07-12,48,Yes
V0148,A127,CVE-2025-10003,4.3,Medium,Low,No,2026-07-28,32,Yes
V0149,A024,CVE-2024-21009,7.9,High,Medium,No,2026-08-14,15,Yes
V0150,A001,CVE-2025-10001,7.3,High,Medium,No,2026-07-20,40,Yes
V0151,A120,CVE-2025-10003,9.2,Critical,High,No,2026-07-19,41,Yes
V0152,A043,CVE-2025-10003,8.7,High,High,Yes,2026-08-03,26,Yes
V0153,A087,CVE-2024-20012,9.7,Critical,High,No,2026-07-22,38,Yes
V0154,A035,CVE-2025-10001,5.3,Medium,Low,No,2026-08-15,14,Yes
V0155,A116,CVE-2025-10002,9.6,Critical,High,No,2026-07-15,45,Yes
V0156,A068,CVE-2025-10002,9.7,Critical,High,Yes,2026-07-31,29,Yes
V0157,A102,CVE-2025-10002,6.9,Medium,Medium,No,2026-07-19,41,Yes
V0158,A145,CVE-2025-10002,6.3,Medium,Medium,No,2026-08-07,22,No
V0159,A131,CVE-2025-10001,9.0,Critical,High,Yes,2026-08-12,17,Yes
V0160,A037,CVE-2024-20012,7.8,High,Medium,No,2026-07-15,45,Yes
V0161,A099,CVE-2024-21009,9.4,Critical,High,Yes,2026-07-27,33,Yes
V0162,A146,CVE-2024-21009,7.9,High,Medium,No,2026-08-21,8,No
V0163,A079,CVE-2024-21009,9.6,Critical,High,No,2026-07-11,49,No
V0164,A069,CVE-2025-10002,5.8,Medium,Low,No,2026-07-10,50,Yes
V0165,A070,CVE-2025-10001,6.0,Medium,Medium,No,2026-08-15,14,Yes
V0166,A138,CVE-2023-30021,9.8,Critical,High,Yes,2026-07-12,48,Yes
V0167,A052,CVE-2025-10001,8.8,High,High,No,2026-08-05,24,Yes
V0168,A139,CVE-2025-10110,4.1,Medium,Low,No,2026-07-20,40,No
V0169,A113,CVE-2025-10110,7.7,High,Medium,No,2026-08-03,26,Yes
V0170,A097,CVE-2025-10002,8.5,High,High,Yes,2026-08-22,7,Yes
V0171,A094,CVE-2023-30021,6.6,Medium,Medium,No,2026-08-22,7,Yes
V0172,A089,CVE-2025-10003,9.1,Critical,High,No,2026-07-09,51,Yes
V0173,A101,CVE-2025-10110,7.1,High,Medium,No,2026-07-23,37,Yes
V0174,A019,CVE-2024-20012,4.5,Medium,Low,No,2026-07-29,31,Yes
V0175,A004,CVE-2025-10002,7.8,High,Medium,No,2026-07-31,29,No
V0176,A119,CVE-2024-20012,7.6,High,Medium,No,2026-08-03,26,Yes
V0177,A129,CVE-2025-10001,7.4,High,Medium,No,2026-07-21,39,Yes
V0178,A006,CVE-2024-20011,5.2,Medium,Low,No,2026-07-24,36,No
V0179,A068,CVE-2024-20012,4.5,Medium,Low,No,2026-07-21,39,Yes
V0180,A064,CVE-2024-21009,5.1,Medium,Low,No,2026-08-19,10,Yes
V0181,A104,CVE-2023-30021,8.0,High,Medium,No,2026-07-27,33,Yes
V0182,A096,CVE-2024-21009,9.2,Critical,High,No,2026-08-16,13,Yes
V0183,A037,CVE-2025-10002,9.2,Critical,High,No,2026-07-15,45,Yes
V0184,A064,CVE-2024-20011,7.5,High,Medium,No,2026-08-09,20,Yes
V0185,A074,CVE-2025-10003,6.9,Medium,Medium,No,2026-07-14,46,Yes
V0186,A052,CVE-2024-21009,8.9,High,High,Yes,2026-07-29,31,No
V0187,A138,CVE-2024-21009,4.6,Medium,Low,No,2026-08-16,13,Yes
V0188,A119,CVE-2024-20012,5.8,Medium,Low,No,2026-07-13,47,No
V0189,A087,CVE-2024-20012,4.4,Medium,Low,No,2026-07-14,46,Yes
V0190,A022,CVE-2024-20012,4.8,Medium,Low,No,2026-08-07,22,Yes
V0191,A136,CVE-2024-21009,9.1,Critical,High,No,2026-08-18,11,Yes
V0192,A058,CVE-2023-30021,7.7,High,Medium,No,2026-08-17,12,Yes
V0193,A105,CVE-2025-10110,4.1,Medium,Low,No,2026-07-29,31,No
V0194,A082,CVE-2024-21009,7.1,High,Medium,No,2026-07-02,58,Yes
V0195,A056,CVE-2025-10003,8.3,High,Medium,No,2026-08-08,21,No
V0196,A031,CVE-2024-20011,8.9,High,High,No,2026-07-26,34,Yes
V0197,A047,CVE-2024-21009,7.9,High,Medium,No,2026-07-23,37,Yes
V0198,A065,CVE-2023-30021,9.2,Critical,High,Yes,2026-07-22,38,Yes
V0199,A135,CVE-2024-21009,8.4,High,Medium,No,2026-07-15,45,Yes
V0200,A149,CVE-2025-10110,5.3,Medium,Low,No,2026-07-27,33,No
V0201,A104,CVE-2024-20012,4.5,Medium,Low,No,2026-07-10,50,Yes
V0202,A024,CVE-2024-20012,9.6,Critical,High,Yes,2026-08-06,23,Yes
V0203,A042,CVE-2025-10001,4.4,Medium,Low,No,2026-07-03,57,Yes
V0204,A145,CVE-2025-10002,8.9,High,High,No,2026-07-11,49,Yes
V0205,A056,CVE-2024-20012,7.9,High,Medium,No,2026-08-25,4,Yes
V0206,A117,CVE-2025-10003,6.0,Medium,Medium,No,2026-07-13,47,Yes
V0207,A014,CVE-2024-20012,9.4,Critical,High,No,2026-07-30,30,Yes
V0208,A146,CVE-2025-10110,6.8,Medium,Medium,No,2026-07-04,56,Yes
V0209,A150,CVE-2025-10001,6.9,Medium,Medium,No,2026-08-22,7,Yes
V0210,A019,CVE-2024-20011,7.9,High,Medium,No,2026-07-01,59,Yes
V0211,A080,CVE-2024-21009,9.4,Critical,High,No,2026-08-22,7,Yes
V0212,A036,CVE-2025-10110,6.9,Medium,Medium,No,2026-08-04,25,Yes
V0213,A003,CVE-2024-21009,7.3,High,Medium,No,2026-07-15,45,Yes
V0214,A008,CVE-2024-21009,4.4,Medium,Low,No,2026-07-19,41,Yes
V0215,A023,CVE-2024-20011,5.5,Medium,Low,No,2026-07-15,45,Yes
V0216,A141,CVE-2025-10001,5.6,Medium,Low,No,2026-08-06,23,Yes
V0217,A133,CVE-2023-30021,6.5,Medium,Medium,No,2026-07-18,42,Yes
V0218,A119,CVE-2024-21009,5.9,Medium,Low,No,2026-08-13,16,Yes
V0219,A109,CVE-2025-10001,4.9,Medium,Low,No,2026-08-09,20,Yes
V0220,A089,CVE-2023-30021,8.1,High,Medium,No,2026-07-30,30,Yes
V0221,A125,CVE-2025-10003,4.4,Medium,Low,No,2026-08-11,18,Yes
V0222,A006,CVE-2024-20011,7.2,High,Medium,No,2026-08-08,21,Yes
V0223,A077,CVE-2024-20012,8.7,High,High,Yes,2026-07-28,32,Yes
V0224,A116,CVE-2025-10001,7.5,High,Medium,No,2026-07-03,57,Yes
V0225,A030,CVE-2024-20011,8.5,High,High,Yes,2026-07-17,43,Yes
V0226,A047,CVE-2025-10001,5.8,Medium,Low,No,2026-07-25,35,Yes
V0227,A128,CVE-2024-20011,8.0,High,Medium,No,2026-07-29,31,Yes
V0228,A137,CVE-2025-10002,8.7,High,High,No,2026-07-28,32,Yes
V0229,A132,CVE-2025-10001,6.2,Medium,Medium,No,2026-08-17,12,Yes
V0230,A124,CVE-2025-10003,5.7,Medium,Low,No,2026-07-21,39,Yes
V0231,A136,CVE-2024-21009,8.5,High,High,Yes,2026-07-20,40,No
V0232,A037,CVE-2024-20011,4.2,Medium,Low,No,2026-07-19,41,Yes
V0233,A130,CVE-2025-10001,6.2,Medium,Medium,No,2026-08-02,27,Yes
V0234,A078,CVE-2025-10003,9.6,Critical,High,No,2026-08-21,8,Yes
V0235,A103,CVE-2025-10001,4.8,Medium,Low,No,2026-07-28,32,Yes
V0236,A149,CVE-2024-20012,9.6,Critical,High,No,2026-07-22,38,Yes
V0237,A104,CVE-2024-20012,4.9,Medium,Low,No,2026-07-14,46,Yes
V0238,A012,CVE-2024-20011,7.3,High,Medium,No,2026-08-09,20,No
V0239,A053,CVE-2025-10002,8.9,High,High,Yes,2026-07-07,53,Yes
V0240,A112,CVE-2024-20012,7.3,High,Medium,No,2026-07-04,56,Yes
V0241,A107,CVE-2024-20011,8.4,High,Medium,No,2026-08-04,25,Yes
V0242,A113,CVE-2024-20012,8.9,High,High,No,2026-08-20,9,Yes
V0243,A061,CVE-2025-10001,9.2,Critical,High,No,2026-07-01,59,Yes
V0244,A134,CVE-2024-20012,5.8,Medium,Low,No,2026-07-30,30,Yes
V0245,A100,CVE-2025-10110,9.6,Critical,High,No,2026-07-06,54,Yes
V0246,A026,CVE-2025-10001,8.8,High,High,No,2026-07-18,42,Yes
V0247,A135,CVE-2024-20011,9.8,Critical,High,Yes,2026-07-01,59,Yes
V0248,A107,CVE-2025-10110,9.3,Critical,High,No,2026-08-22,7,Yes
V0249,A085,CVE-2025-10003,4.2,Medium,Low,No,2026-08-02,27,Yes
V0250,A063,CVE-2025-10003,9.6,Critical,High,No,2026-08-08,21,Yes
V0251,A128,CVE-2025-10002,9.3,Critical,High,No,2026-07-16,44,No
V0252,A005,CVE-2025-10002,8.9,High,High,Yes,2026-07-05,55,Yes
V0253,A075,CVE-2025-10001,4.9,Medium,Low,No,2026-08-10,19,Yes
V0254,A149,CVE-2024-20011,7.1,High,Medium,No,2026-07-01,59,Yes
V0255,A102,CVE-2025-10002,6.3,Medium,Medium,No,2026-08-20,9,Yes
V0256,A015,CVE-2024-21009,8.1,High,Medium,No,2026-07-07,53,Yes
V0257,A150,CVE-2024-20011,7.2,High,Medium,No,2026-08-19,10,Yes
V0258,A031,CVE-2024-21009,9.0,Critical,High,Yes,2026-07-15,45,Yes
V0259,A020,CVE-2025-10001,9.8,Critical,High,No,2026-07-05,55,Yes
V0260,A046,CVE-2024-20011,4.4,Medium,Low,No,2026-07-01,59,No
V0261,A120,CVE-2023-30021,6.3,Medium,Medium,No,2026-07-05,55,Yes
V0262,A120,CVE-2025-10001,5.2,Medium,Low,No,2026-08-05,24,Yes
V0263,A012,CVE-2025-10110,9.9,Critical,High,Yes,2026-07-25,35,No
V0264,A075,CVE-2025-10003,8.3,High,Medium,No,2026-07-15,45,Yes
V0265,A002,CVE-2024-21009,8.9,High,High,Yes,2026-08-23,6,Yes
V0266,A104,CVE-2024-20012,4.6,Medium,Low,No,2026-07-17,43,Yes
V0267,A067,CVE-2024-20011,8.1,High,Medium,No,2026-07-17,43,Yes
V0268,A112,CVE-2025-10001,4.5,Medium,Low,No,2026-07-19,41,Yes
V0269,A010,CVE-2024-20011,4.8,Medium,Low,No,2026-07-25,35,Yes
V0270,A101,CVE-2023-30021,5.5,Medium,Low,No,2026-07-02,58,Yes
V0271,A123,CVE-2025-10003,4.1,Medium,Low,No,2026-08-05,24,Yes
V0272,A062,CVE-2025-10001,9.6,Critical,High,No,2026-08-15,14,Yes
V0273,A100,CVE-2024-21009,8.5,High,High,Yes,2026-07-25,35,Yes
V0274,A047,CVE-2024-20011,7.9,High,Medium,No,2026-07-22,38,Yes
V0275,A138,CVE-2024-21009,5.8,Medium,Low,No,2026-07-06,54,Yes
V0276,A102,CVE-2023-30021,7.9,High,Medium,No,2026-08-18,11,Yes
V0277,A115,CVE-2023-30021,9.0,Critical,High,Yes,2026-07-28,32,No
V0278,A138,CVE-2024-20011,6.6,Medium,Medium,No,2026-08-23,6,Yes
V0279,A010,CVE-2025-10002,6.7,Medium,Medium,No,2026-07-25,35,Yes
V0280,A126,CVE-2024-20011,6.2,Medium,Medium,No,2026-07-10,50,Yes
V0281,A040,CVE-2024-20012,9.2,Critical,High,No,2026-08-07,22,No
V0282,A063,CVE-2024-20011,8.2,High,Medium,No,2026-07-19,41,No
V0283,A030,CVE-2024-20012,4.2,Medium,Low,No,2026-08-15,14,Yes
V0284,A087,CVE-2025-10001,5.9,Medium,Low,No,2026-08-14,15,Yes
V0285,A057,CVE-2025-10003,6.4,Medium,Medium,No,2026-08-13,16,Yes
V0286,A116,CVE-2025-10002,7.2,High,Medium,No,2026-08-10,19,No
V0287,A035,CVE-2024-21009,7.7,High,Medium,No,2026-08-15,14,No
V0288,A019,CVE-2025-10002,7.8,High,Medium,No,2026-08-08,21,Yes
V0289,A009,CVE-2023-30021,6.9,Medium,Medium,No,2026-07-14,46,Yes
V0290,A056,CVE-2025-10002,8.3,High,Medium,No,2026-07-02,58,Yes
V0291,A105,CVE-2024-21009,5.9,Medium,Low,No,2026-07-23,37,Yes
V0292,A122,CVE-2024-20011,5.9,Medium,Low,No,2026-07-25,35,Yes
V0293,A115,CVE-2024-20012,6.1,Medium,Medium,No,2026-08-10,19,Yes
V0294,A073,CVE-2024-20012,4.6,Medium,Low,No,2026-08-12,17,Yes
V0295,A145,CVE-2024-20012,9.0,Critical,High,No,2026-08-15,14,Yes
V0296,A137,CVE-2023-30021,7.2,High,Medium,No,2026-07-06,54,No
V0297,A075,CVE-2025-10110,4.8,Medium,Low,No,2026-07-16,44,Yes
V0298,A135,CVE-2024-20011,6.0,Medium,Medium,No,2026-07-11,49,Yes
V0299,A133,CVE-2025-10003,4.6,Medium,Low,No,2026-07-19,41,Yes
V0300,A144,CVE-2024-21009,6.2,Medium,Medium,No,2026-07-08,52,Yes
V0301,A101,CVE-2023-30021,5.8,Medium,Low,No,2026-07-29,31,Yes
V0302,A028,CVE-2025-10110,7.9,High,Medium,No,2026-07-15,45,No
V0303,A100,CVE-2024-21009,9.8,Critical,High,Yes,2026-07-12,48,No
V0304,A058,CVE-2025-10003,7.8,High,Medium,No,2026-07-17,43,Yes
V0305,A132,CVE-2023-30021,4.6,Medium,Low,No,2026-08-13,16,No
V0306,A001,CVE-2025-10002,9.4,Critical,High,No,2026-08-14,15,Yes
V0307,A036,CVE-2025-10002,5.4,Medium,Low,No,2026-07-15,45,Yes
V0308,A135,CVE-2024-21009,7.6,High,Medium,No,2026-08-14,15,Yes
V0309,A145,CVE-2023-30021,4.6,Medium,Low,No,2026-08-25,4,Yes
V0310,A079,CVE-2024-20011,4.3,Medium,Low,No,2026-08-03,26,Yes
V0311,A053,CVE-2025-10001,9.5,Critical,High,Yes,2026-07-27,33,Yes
V0312,A136,CVE-2023-30021,7.8,High,Medium,No,2026-08-19,10,Yes
V0313,A010,CVE-2024-21009,9.8,Critical,High,No,2026-07-08,52,Yes
V0314,A054,CVE-2025-10001,4.1,Medium,Low,No,2026-08-25,4,Yes
V0315,A082,CVE-2025-10001,7.3,High,Medium,No,2026-07-28,32,Yes
V0316,A018,CVE-2024-21009,9.6,Critical,High,Yes,2026-08-15,14,Yes
V0317,A018,CVE-2024-21009,6.9,Medium,Medium,No,2026-07-12,48,Yes
V0318,A093,CVE-2025-10002,9.2,Critical,High,Yes,2026-07-23,37,No
V0319,A090,CVE-2024-21009,9.9,Critical,High,No,2026-07-22,38,Yes
V0320,A033,CVE-2023-30021,5.5,Medium,Low,No,2026-08-01,28,Yes
V0321,A088,CVE-2025-10001,4.6,Medium,Low,No,2026-07-30,30,No
V0322,A021,CVE-2025-10003,9.8,Critical,High,Yes,2026-07-15,45,Yes
V0323,A013,CVE-2025-10002,9.5,Critical,High,No,2026-08-11,18,Yes
V0324,A031,CVE-2024-20011,6.6,Medium,Medium,No,2026-07-30,30,Yes
V0325,A140,CVE-2023-30021,9.8,Critical,High,No,2026-08-19,10,Yes
V0326,A071,CVE-2025-10001,9.9,Critical,High,Yes,2026-08-06,23,Yes
V0327,A123,CVE-2024-20012,8.6,High,High,Yes,2026-07-04,56,Yes
