control_id,asset_id,status,coverage,maturity,last_assessed
C007,A005,Implemented,0.77,4.2,2026-08-20
C009,A005,Not Implemented,0.0,0.0,2026-08-20
C010,A005,Implemented,0.94,2.5,2026-08-20
C001,A006,Not Implemented,0.0,0.0,2026-08-20
C003,A006,Partially Implemented,0.53,2.4,2026-08-20
C004,A006,Implemented,0.75,4.7,2026-08-20
C005,A006,Implemented,0.64,3.1,2026-08-20
C006,A006,Implemented,0.87,4.6,2026-08-20
C009,A006,Implemented,0.87,4.2,2026-08-20
C010,A006,Partially Implemented,0.67,1.0,2026-08-20
C001,A007,Not Implemented,0.0,0.0,2026-08-20
C002,A007,Implemented,0.78,3.1,2026-08-20
C003,A007,Implemented,0.9,3.9,2026-08-20
C004,A007,Not Implemented,0.0,0.0,2026-08-20
C005,A007,Not Implemented,0.0,0.0,2026-08-20
C006,A007,Not Implemented,0.0,0.0,2026-08-20
C008,A007,Partially Implemented,0.38,2.2,2026-08-20
C009,A007,Partially Implemented,0.33,1.9,2026-08-20
C010,A007,Implemented,0.84,4.1,2026-08-20
C001,A008,Implemented,0.62,4.3,2026-08-20
C002,A008,Implemented,0.62,4.4,2026-08-20
C003,A008,Implemented,0.7,4.5,2026-08-20
C004,A008,Not Implemented,0.0,0.0,2026-08-20
C005,A008,Implemented,0.9,3.5,2026-08-20
C006,A008,Partially Implemented,0.5,2.4,2026-08-20
C009,A008,Implemented,0.68,2.7,2026-08-20
C010,A008,Implemented,0.86,3.9,2026-08-20
C001,A009,Not Implemented,0.0,0.0,2026-08-20
C002,A009,Implemented,0.78,2.6,2026-08-20
C003,A009,Partially Implemented,0.24,2.6,2026-08-20
C004,A009,Implemented,0.85,4.8,2026-08-20
C005,A009,Not Implemented,0.0,0.0,2026-08-20
C006,A009,Partially Implemented,0.43,1.5,2026-08-20
C007,A009,Implemented,0.79,3.1,2026-08-20
C009,A009,Partially Implemented,0.58,2.1,2026-08-20
C010,A009,Not Implemented,0.0,0.0,2026-08-20
C001,A010,Implemented,0.74,4.0,2026-08-20
C002,A010,Implemented,0.83,3.2,2026-08-20
C003,A010,Not Implemented,0.0,0.0,2026-08-20
C004,A010,Not Implemented,0.0,0.0,2026-08-20
C005,A010,Not Implemented,0.0,0.0,2026-08-20
C006,A010,Not Implemented,0.0,0.0,2026-08-20
C007,A010,Implemented,0.64,2.9,2026-08-20
C009,A010,Partially Implemented,0.61,2.1,2026-08-20
C010,A010,Partially Implemented,0.51,1.2,2026-08-20
C001,A011,Partially Implemented,0.53,1.0,2026-08-20
C002,A011,Implemented,0.77,3.6,2026-08-20
C003,A011,Partially Implemented,0.34,2.7,2026-08-20
C004,A011,Partially Implemented,0.4,1.1,2026-08-20
C005,A011,Partially Implemented,0.37,2.7,2026-08-20
C006,A011,Not Implemented,0.0,0.0,2026-08-20
C009,A011,Implemented,0.71,2.8,2026-08-20
C010,A011,Partially Implemented,0.24,1.0,2026-08-20
C001,A012,Partially Implemented,0.4,1.1,2026-08-20
C002,A012,Implemented,0.98,2.8,2026-08-20
C003,A012,Implemented,0.63,4.1,2026-08-20
C004,A012,Not Implemented,0.0,0.0,2026-08-20
C005,A012,Implemented,0.72,3.0,2026-08-20
C006,A012,Partially Implemented,0.57,2.5,2026-08-20
C009,A012,Implemented,0.65,3.7,2026-08-20
C010,A012,Not Implemented,0.0,0.0,2026-08-20
C001,A013,Not Implemented,0.0,0.0,2026-08-20
C003,A013,Implemented,0.84,3.9,2026-08-20
C004,A013,Partially Implemented,0.36,2.2,2026-08-20
C005,A013,Partially Implemented,0.53,1.7,2026-08-20
C006,A013,Not Implemented,0.0,0.0,2026-08-20
C009,A013,Not Implemented,0.0,0.0,2026-08-20
C010,A013,Partially Implemented,0.59,2.2,2026-08-20
C001,A014,Not Implemented,0.0,0.0,2026-08-20
C002,A014,Not Implemented,0.0,0.0,2026-08-20
C003,A014,Implemented,0.7,3.0,2026-08-20
C004,A014,Implemented,0.81,4.0,2026-08-20
C005,A014,Not Implemented,0.0,0.0,2026-08-20
C006,A014,Not Implemented,0.0,0.0,2026-08-20
C007,A014,Not Implemented,0.0,0.0,2026-08-20
C009,A014,Implemented,0.67,4.1,2026-08-20
C010,A014,Implemented,0.61,3.0,2026-08-20
C001,A015,Partially Implemented,0.45,2.3,2026-08-20
C003,A015,Not Implemented,0.0,0.0,2026-08-20
C004,A015,Partially Implemented,0.29,2.7,2026-08-20
C005,A015,Implemented,0.96,4.0,2026-08-20
C006,A015,Not Implemented,0.0,0.0,2026-08-20
C009,A015,Implemented,0.9,3.7,2026-08-20
C010,A015,Not Implemented,0.0,0.0,2026-08-20
C001,A016,Not Implemented,0.0,0.0,2026-08-20
C002,A016,Partially Implemented,0.52,2.7,2026-08-20
C003,A016,Implemented,0.62,2.7,2026-08-20
C004,A016,Implemented,0.73,2.6,2026-08-20
C005,A016,Not Implemented,0.0,0.0,2026-08-20
C006,A016,Partially Implemented,0.41,1.7,2026-08-20
C009,A016,Partially Implemented,0.45,2.3,2026-08-20
C010,A016,Not Implemented,0.0,0.0,2026-08-20
C001,A017,Implemented,0.7,2.9,2026-08-20
C003,A017,Not Implemented,0.0,0.0,2026-08-20
C004,A017,Implemented,0.87,2.8,2026-08-20
C005,A017,Implemented,0.64,4.6,2026-08-20
C006,A017,Not Implemented,0.0,0.0,2026-08-20
C009,A017,Partially Implemented,0.39,1.3,2026-08-20
C010,A017,Implemented,0.97,4.4,2026-08-20
C001,A018,Not Implemented,0.0,0.0,2026-08-20
C003,A018,Partially Implemented,0.4,1.8,2026-08-20
C004,A018,Implemented,0.89,3.4,2026-08-20
C005,A018,Not Implemented,0.0,0.0,2026-08-20
C006,A018,Partially Implemented,0.68,1.2,2026-08-20
C009,A018,Implemented,0.73,2.6,2026-08-20
C010,A018,Not Implemented,0.0,0.0,2026-08-20
C001,A019,Not Implemented,0.0,0.0,2026-08-20
C002,A019,Implemented,0.93,2.8,2026-08-20
C003,A019,Not Implemented,0.0,0.0,2026-08-20
C004,A019,Implemented,0.81,4.4,2026-08-20
C005,A019,Partially Implemented,0.49,2.4,2026-08-20
C006,A019,Partially Implemented,0.42,2.8,2026-08-20
C009,A019,Not Implemented,0.0,0.0,2026-08-20
C010,A019,Implemented,0.9,3.6,2026-08-20
C001,A020,Implemented,0.88,4.6,2026-08-20
C002,A020,Implemented,0.72,4.2,2026-08-20
C003,A020,Partially Implemented,0.26,1.0,2026-08-20
C004,A020,Not Implemented,0.0,0.0,2026-08-20
C005,A020,Not Implemented,0.0,0.0,2026-08-20
C006,A020,Implemented,0.64,2.9,2026-08-20
C009,A020,Implemented,0.68,4.7,2026-08-20
C010,A020,Not Implemented,0.0,0.0,2026-08-20
C001,A021,Implemented,0.61,4.5,2026-08-20
C002,A021,Not Implemented,0.0,0.0,2026-08-20
C003,A021,Implemented,0.72,3.7,2026-08-20
C004,A021,Not Implemented,0.0,0.0,2026-08-20
C005,A021,Not Implemented,0.0,0.0,2026-08-20
C006,A021,Implemented,0.93,4.3,2026-08-20
C009,A021,Partially Implemented,0.26,1.0,2026-08-20
C010,A021,Not Implemented,0.0,0.0,2026-08-20
C001,A022,Not Implemented,0.0,0.0,2026-08-20
C002,A022,Implemented,0.98,3.8,2026-08-20
C003,A022,Implemented,0.9,4.1,2026-08-20
C004,A022,Implemented,0.94,2.8,2026-08-20
C005,A022,Partially Implemented,0.63,1.9,2026-08-20
C006,A022,Not Implemented,0.0,0.0,2026-08-20
C008,A022,Implemented,0.69,4.0,2026-08-20
C009,A022,Implemented,0.84,4.0,2026-08-20
C010,A022,Partially Implemented,0.66,2.0,2026-08-20
C001,A023,Implemented,0.79,3.7,2026-08-20
C002,A023,Partially Implemented,0.35,1.0,2026-08-20
C003,A023,Partially Implemented,0.28,1.8,2026-08-20
C004,A023,Partially Implemented,0.29,2.4,2026-08-20
C005,A023,Implemented,0.74,3.3,2026-08-20
C006,A023,Implemented,0.91,3.2,2026-08-20
C009,A023,Implemented,0.72,3.6,2026-08-20
C010,A023,Not Implemented,0.0,0.0,2026-08-20
C001,A024,Not Implemented,0.0,0.0,2026-08-20
C002,A024,Partially Implemented,0.28,2.7,2026-08-20
C003,A024,Not Implemented,0.0,0.0,2026-08-20
C004,A024,Partially Implemented,0.64,2.5,2026-08-20
C005,A024,Implemented,0.91,4.5,2026-08-20
C006,A024,Implemented,0.93,3.3,2026-08-20
C007,A024,Implemented,0.63,4.3,2026-08-20
C009,A024,Not Implemented,0.0,0.0,2026-08-20
C010,A024,Implemented,0.75,3.4,2026-08-20
C001,A025,Partially Implemented,0.22,1.2,2026-08-20
C002,A025,Not Implemented,0.0,0.0,2026-08-20
C003,A025,Implemented,0.66,4.7,2026-08-20
C004,A025,Not Implemented,0.0,0.0,2026-08-20
C005,A025,Partially Implemented,0.67,1.3,2026-08-20
C006,A025,Implemented,0.98,3.1,2026-08-20
C009,A025,Implemented,0.87,3.3,2026-08-20
C010,A025,Implemented,0.83,2.6,2026-08-20
C001,A026,Not Implemented,0.0,0.0,2026-08-20
C002,A026,Not Implemented,0.0,0.0,2026-08-20
C003,A026,Implemented,0.67,2.6,2026-08-20
C004,A026,Implemented,0.88,4.3,2026-08-20
C005,A026,Not Implemented,0.0,0.0,2026-08-20
C006,A026,Implemented,0.92,3.1,2026-08-20
C009,A026,Implemented,0.73,3.3,2026-08-20
C010,A026,Implemented,0.67,2.8,2026-08-20
C001,A027,Partially Implemented,0.34,1.6,2026-08-20
C002,A027,Implemented,0.75,2.6,2026-08-20
C003,A027,Not Implemented,0.0,0.0,2026-08-20
C004,A027,Implemented,0.91,2.8,2026-08-20
C005,A027,Partially Implemented,0.47,2.5,2026-08-20
C006,A027,Implemented,0.95,3.4,2026-08-20
C008,A027,Not Implemented,0.0,0.0,2026-08-20
C009,A027,Implemented,0.99,4.6,2026-08-20
C010,A027,Partially Implemented,0.3,2.6,2026-08-20
C001,A028,Partially Implemented,0.37,1.8,2026-08-20
C002,A028,Implemented,0.75,4.6,2026-08-20
C003,A028,Not Implemented,0.0,0.0,2026-08-20
C004,A028,Implemented,0.66,3.8,2026-08-20
C005,A028,Implemented,0.84,2.6,2026-08-20
C006,A028,Implemented,0.69,4.2,2026-08-20
C009,A028,Partially Implemented,0.43,2.1,2026-08-20
C010,A028,Partially Implemented,0.6,1.5,2026-08-20
C001,A029,Implemented,0.91,4.4,2026-08-20
C003,A029,Implemented,0.94,3.7,2026-08-20
C004,A029,Not Implemented,0.0,0.0,2026-08-20
C005,A029,Not Implemented,0.0,0.0,2026-08-20
C006,A029,Implemented,0.96,2.6,2026-08-20
C009,A029,Partially Implemented,0.34,1.1,2026-08-20
C010,A029,Partially Implemented,0.65,1.7,2026-08-20
C001,A030,Implemented,0.9,3.9,2026-08-20
C002,A030,Partially Implemented,0.26,1.9,2026-08-20
C003,A030,Partially Implemented,0.63,1.7,2026-08-20
C004,A030,Partially Implemented,0.51,1.6,2026-08-20
C005,A030,Not Implemented,0.0,0.0,2026-08-20
C006,A030,Partially Implemented,0.56,2.7,2026-08-20
C009,A030,Implemented,0.92,3.7,2026-08-20
C010,A030,Implemented,1.0,3.6,2026-08-20
C001,A031,Implemented,0.98,4.2,2026-08-20
C003,A031,Partially Implemented,0.28,2.7,2026-08-20
C004,A031,Not Implemented,0.0,0.0,2026-08-20
C005,A031,Implemented,0.85,3.2,2026-08-20
C006,A031,Not Implemented,0.0,0.0,2026-08-20
C009,A031,Implemented,0.7,4.3,2026-08-20
C010,A031,Implemented,0.74,3.5,2026-08-20
C001,A032,Not Implemented,0.0,0.0,2026-08-20
C002,A032,Implemented,0.66,4.3,2026-08-20
C003,A032,Not Implemented,0.0,0.0,2026-08-20
C004,A032,Not Implemented,0.0,0.0,2026-08-20
C005,A032,Implemented,0.68,3.1,2026-08-20
C006,A032,Implemented,0.61,2.8,2026-08-20
C009,A032,Implemented,0.85,4.4,2026-08-20
C010,A032,Partially Implemented,0.38,2.6,2026-08-20
C001,A033,Implemented,0.68,2.6,2026-08-20
C003,A033,Not Implemented,0.0,0.0,2026-08-20
C004,A033,Not Implemented,0.0,0.0,2026-08-20
C005,A033,Not Implemented,0.0,0.0,2026-08-20
C006,A033,Partially Implemented,0.34,1.6,2026-08-20
C009,A033,Implemented,0.91,3.3,2026-08-20
C010,A033,Implemented,0.87,3.1,2026-08-20
C001,A034,Implemented,0.73,3.3,2026-08-20
C003,A034,Implemented,0.92,3.0,2026-08-20
C004,A034,Implemented,0.99,4.5,2026-08-20
C005,A034,Implemented,0.9,2.5,2026-08-20
C006,A034,Partially Implemented,0.33,1.6,2026-08-20
C009,A034,Not Implemented,0.0,0.0,2026-08-20
C010,A034,Partially Implemented,0.63,1.5,2026-08-20
C001,A035,Not Implemented,0.0,0.0,2026-08-20
C002,A035,Not Implemented,0.0,0.0,2026-08-20
C003,A035,Implemented,0.74,3.9,2026-08-20
C004,A035,Partially Implemented,0.66,2.5,2026-08-20
C005,A035,Partially Implemented,0.49,2.0,2026-08-20
C006,A035,Partially Implemented,0.68,2.9,2026-08-20
C008,A035,Not Implemented,0.0,0.0,2026-08-20
C009,A035,Implemented,0.72,3.5,2026-08-20
C010,A035,Implemented,0.97,4.6,2026-08-20
C001,A036,Implemented,0.66,3.0,2026-08-20
C002,A036,Partially Implemented,0.54,1.2,2026-08-20
C003,A036,Implemented,0.98,3.8,2026-08-20
C004,A036,Implemented,0.78,3.3,2026-08-20
C005,A036,Not Implemented,0.0,0.0,2026-08-20
C006,A036,Not Implemented,0.0,0.0,2026-08-20
C009,A036,Not Implemented,0.0,0.0,2026-08-20
C010,A036,Implemented,0.77,4.6,2026-08-20
C001,A037,Implemented,0.83,3.1,2026-08-20
C003,A037,Not Implemented,0.0,0.0,2026-08-20
C004,A037,Not Implemented,0.0,0.0,2026-08-20
C005,A037,Partially Implemented,0.28,2.7,2026-08-20
C006,A037,Implemented,0.98,4.7,2026-08-20
C009,A037,Implemented,0.61,3.7,2026-08-20
C010,A037,Partially Implemented,0.25,1.1,2026-08-20
C001,A038,Implemented,0.84,3.5,2026-08-20
C002,A038,Implemented,0.66,2.6,2026-08-20
C003,A038,Implemented,0.98,3.1,2026-08-20
C004,A038,Implemented,0.89,3.4,2026-08-20
C005,A038,Implemented,0.99,3.1,2026-08-20
C006,A038,Not Implemented,0.0,0.0,2026-08-20
C008,A038,Implemented,0.72,3.3,2026-08-20
C009,A038,Not Implemented,0.0,0.0,2026-08-20
C010,A038,Implemented,0.66,3.9,2026-08-20
C001,A039,Implemented,0.8,4.5,2026-08-20
C003,A039,Not Implemented,0.0,0.0,2026-08-20
C004,A039,Implemented,0.61,4.1,2026-08-20
C005,A039,Not Implemented,0.0,0.0,2026-08-20
C006,A039,Implemented,0.67,4.2,2026-08-20
C009,A039,Not Implemented,0.0,0.0,2026-08-20
C010,A039,Implemented,0.6,3.1,2026-08-20
C001,A040,Implemented,0.84,3.9,2026-08-20
C002,A040,Implemented,0.87,3.7,2026-08-20
C003,A040,Partially Implemented,0.23,1.2,2026-08-20
C004,A040,Partially Implemented,0.33,1.3,2026-08-20
C005,A040,Partially Implemented,0.23,2.4,2026-08-20
C006,A040,Partially Implemented,0.55,1.7,2026-08-20
C007,A040,Implemented,0.75,4.7,2026-08-20
C009,A040,Not Implemented,0.0,0.0,2026-08-20
C010,A040,Not Implemented,0.0,0.0,2026-08-20
C001,A041,Not Implemented,0.0,0.0,2026-08-20
C002,A041,Implemented,0.65,3.4,2026-08-20
C003,A041,Implemented,0.65,3.0,2026-08-20
C004,A041,Not Implemented,0.0,0.0,2026-08-20
C005,A041,Not Implemented,0.0,0.0,2026-08-20
C006,A041,Not Implemented,0.0,0.0,2026-08-20
C007,A041,Not Implemented,0.0,0.0,2026-08-20
C009,A041,Implemented,0.7,2.5,2026-08-20
C010,A041,Not Implemented,0.0,0.0,2026-08-20
C001,A042,Implemented,0.89,4.6,2026-08-20
C002,A042,Not Implemented,0.0,0.0,2026-08-20
C003,A042,Not Implemented,0.0,0.0,2026-08-20
C004,A042,Implemented,0.77,3.2,2026-08-20
C005,A042,Implemented,0.98,4.6,2026-08-20
C006,A042,Implemented,0.63,3.0,2026-08-20
C007,A042,Partially Implemented,0.29,1.2,2026-08-20
C009,A042,Implemented,0.65,2.6,2026-08-20
C010,A042,Partially Implemented,0.58,1.4,2026-08-20
C001,A043,Partially Implemented,0.54,1.2,2026-08-20
C002,A043,Partially Implemented,0.55,1.3,2026-08-20
C003,A043,Not Implemented,0.0,0.0,2026-08-20
C004,A043,Implemented,0.64,2.5,2026-08-20
C005,A043,Implemented,0.62,4.1,2026-08-20
C006,A043,Not Implemented,0.0,0.0,2026-08-20
C009,A043,Partially Implemented,0.56,1.1,2026-08-20
C010,A043,Implemented,0.97,4.6,2026-08-20
C001,A044,Partially Implemented,0.21,2.4,2026-08-20
C002,A044,Implemented,0.74,3.7,2026-08-20
C003,A044,Implemented,0.84,4.0,2026-08-20
C004,A044,Implemented,0.93,4.8,2026-08-20
C005,A044,Implemented,0.62,4.2,2026-08-20
C006,A044,Implemented,0.62,4.2,2026-08-20
C008,A044,Not Implemented,0.0,0.0,2026-08-20
C009,A044,Partially Implemented,0.26,1.0,2026-08-20
C010,A044,Implemented,0.81,4.7,2026-08-20
C001,A045,Not Implemented,0.0,0.0,2026-08-20
C002,A045,Implemented,0.64,4.5,2026-08-20
C003,A045,Not Implemented,0.0,0.0,2026-08-20
C004,A045,Implemented,0.67,3.3,2026-08-20
C005,A045,Implemented,1.0,3.8,2026-08-20
C006,A045,Not Implemented,0.0,0.0,2026-08-20
C009,A045,Implemented,0.87,4.7,2026-08-20
C010,A045,Not Implemented,0.0,0.0,2026-08-20
C001,A046,Not Implemented,0.0,0.0,2026-08-20
C003,A046,Implemented,0.88,4.5,2026-08-20
C004,A046,Implemented,0.76,2.7,2026-08-20
C005,A046,Partially Implemented,0.38,2.8,2026-08-20
C006,A046,Partially Implemented,0.64,2.0,2026-08-20
C009,A046,Not Implemented,0.0,0.0,2026-08-20
C010,A046,Not Implemented,0.0,0.0,2026-08-20
C001,A047,Implemented,0.62,4.2,2026-08-20
C002,A047,Partially Implemented,0.48,2.7,2026-08-20
C003,A047,Implemented,0.89,3.7,2026-08-20
C004,A047,Not Implemented,0.0,0.0,2026-08-20
C005,A047,Implemented,0.98,2.7,2026-08-20
C006,A047,Implemented,0.61,3.8,2026-08-20
C007,A047,Not Implemented,0.0,0.0,2026-08-20
C009,A047,Implemented,0.95,4.5,2026-08-20
C010,A047,Implemented,0.73,2.9,2026-08-20
C001,A048,Implemented,0.84,3.2,2026-08-20
C002,A048,Implemented,0.77,2.9,2026-08-20
C003,A048,Partially Implemented,0.56,1.1,2026-08-20
C004,A048,Implemented,0.99,3.6,2026-08-20
C005,A048,Partially Implemented,0.25,1.9,2026-08-20
C006,A048,Implemented,0.79,4.5,2026-08-20
C009,A048,Implemented,0.68,3.4,2026-08-20
C010,A048,Partially Implemented,0.49,2.8,2026-08-20
C001,A049,Not Implemented,0.0,0.0,2026-08-20
C003,A049,Not Implemented,0.0,0.0,2026-08-20
C004,A049,Implemented,0.65,2.6,2026-08-20
C005,A049,Partially Implemented,0.29,1.8,2026-08-20
C006,A049,Implemented,0.67,4.7,2026-08-20
C009,A049,Not Implemented,0.0,0.0,2026-08-20
C010,A049,Not Implemented,0.0,0.0,2026-08-20
C001,A050,Implemented,0.74,3.6,2026-08-20
C002,A050,Not Implemented,0.0,0.0,2026-08-20
C003,A050,Not Implemented,0.0,0.0,2026-08-20
C004,A050,Partially Implemented,0.64,1.6,2026-08-20
C005,A050,Not Implemented,0.0,0.0,2026-08-20
C006,A050,Implemented,0.98,4.6,2026-08-20
C007,A050,Implemented,0.78,3.9,2026-08-20
C009,A050,Partially Implemented,0.51,2.5,2026-08-20
C010,A050,Partially Implemented,0.42,1.5,2026-08-20
C001,A051,Implemented,0.8,2.5,2026-08-20
C002,A051,Not Implemented,0.0,0.0,2026-08-20
C003,A051,Implemented,0.8,4.0,2026-08-20
C004,A051,Not Implemented,0.0,0.0,2026-08-20
C005,A051,Implemented,0.74,4.7,2026-08-20
C006,A051,Implemented,0.69,3.5,2026-08-20
C009,A051,Implemented,0.68,4.5,2026-08-20
C010,A051,Not Implemented,0.0,0.0,2026-08-20
C001,A052,Implemented,0.94,4.8,2026-08-20
C002,A052,Implemented,0.87,3.9,2026-08-20
C003,A052,Partially Implemented,0.33,1.5,2026-08-20
C004,A052,Implemented,0.96,3.8,2026-08-20
C005,A052,Not Implemented,0.0,0.0,2026-08-20
C006,A052,Implemented,0.62,4.4,2026-08-20
C009,A052,Implemented,0.94,3.5,2026-08-20
C010,A052,Not Implemented,0.0,0.0,2026-08-20
C001,A053,Not Implemented,0.0,0.0,2026-08-20
C002,A053,Implemented,0.73,4.0,2026-08-20
C003,A053,Not Implemented,0.0,0.0,2026-08-20
C004,A053,Implemented,0.93,4.3,2026-08-20
C005,A053,Implemented,0.74,4.8,2026-08-20
C006,A053,Implemented,0.69,3.7,2026-08-20
C008,A053,Implemented,0.62,4.1,2026-08-20
C009,A053,Not Implemented,0.0,0.0,2026-08-20
C010,A053,Implemented,0.76,4.3,2026-08-20
C001,A054,Partially Implemented,0.38,1.7,2026-08-20
C002,A054,Not Implemented,0.0,0.0,2026-08-20
C003,A054,Not Implemented,0.0,0.0,2026-08-20
C004,A054,Implemented,0.71,2.7,2026-08-20
C005,A054,Implemented,0.83,2.8,2026-08-20
C006,A054,Not Implemented,0.0,0.0,2026-08-20
C009,A054,Not Implemented,0.0,0.0,2026-08-20
C010,A054,Not Implemented,0.0,0.0,2026-08-20
C001,A055,Not Implemented,0.0,0.0,2026-08-20
C002,A055,Implemented,0.96,4.3,2026-08-20
C003,A055,Not Implemented,0.0,0.0,2026-08-20
C004,A055,Implemented,0.67,3.5,2026-08-20
C005,A055,Partially Implemented,0.64,2.6,2026-08-20
C006,A055,Not Implemented,0.0,0.0,2026-08-20
C007,A055,Implemented,0.62,3.9,2026-08-20
C009,A055,Partially Implemented,0.59,1.9,2026-08-20
C010,A055,Not Implemented,0.0,0.0,2026-08-20
C001,A056,Partially Implemented,0.37,1.7,2026-08-20
C003,A056,Not Implemented,0.0,0.0,2026-08-20
C004,A056,Not Implemented,0.0,0.0,2026-08-20
C005,A056,Not Implemented,0.0,0.0,2026-08-20
C006,A056,Not Implemented,0.0,0.0,2026-08-20
C009,A056,Not Implemented,0.0,0.0,2026-08-20
C010,A056,Implemented,0.86,3.2,2026-08-20
C001,A057,Implemented,0.61,4.8,2026-08-20
C002,A057,Implemented,0.7,3.3,2026-08-20
C003,A057,Implemented,0.69,3.7,2026-08-20
C004,A057,Not Implemented,0.0,0.0,2026-08-20
C005,A057,Partially Implemented,0.52,1.2,2026-08-20
C006,A057,Partially Implemented,0.29,1.7,2026-08-20
C009,A057,Implemented,0.68,4.2,2026-08-20
C010,A057,Implemented,0.8,3.0,2026-08-20
C001,A058,Implemented,0.85,3.7,2026-08-20
C002,A058,Implemented,1.0,2.9,2026-08-20
C003,A058,Implemented,0.62,2.8,2026-08-20
C004,A058,Implemented,0.75,3.8,2026-08-20
C005,A058,Not Implemented,0.0,0.0,2026-08-20
C006,A058,Partially Implemented,0.39,2.4,2026-08-20
C007,A058,Implemented,0.84,3.7,2026-08-20
C009,A058,Implemented,0.83,3.5,2026-08-20
C010,A058,Implemented,0.82,2.7,2026-08-20
C001,A059,Implemented,0.92,4.0,2026-08-20
C002,A059,Implemented,0.61,4.7,2026-08-20
C003,A059,Implemented,0.77,2.6,2026-08-20
C004,A059,Implemented,0.87,3.5,2026-08-20
C005,A059,Implemented,0.9,4.1,2026-08-20
C006,A059,Partially Implemented,0.69,1.2,2026-08-20
C009,A059,Not Implemented,0.0,0.0,2026-08-20
C010,A059,Implemented,0.84,2.9,2026-08-20
C001,A060,Implemented,0.68,4.2,2026-08-20
C002,A060,Not Implemented,0.0,0.0,2026-08-20
C003,A060,Partially Implemented,0.25,2.6,2026-08-20
C004,A060,Partially Implemented,0.35,1.4,2026-08-20
C005,A060,Not Implemented,0.0,0.0,2026-08-20
C006,A060,Implemented,0.74,3.6,2026-08-20
C007,A060,Implemented,0.8,3.1,2026-08-20
C009,A060,Not Implemented,0.0,0.0,2026-08-20
C010,A060,Not Implemented,0.0,0.0,2026-08-20
C001,A061,Implemented,0.86,4.6,2026-08-20
C003,A061,Implemented,0.98,3.4,2026-08-20
C004,A061,Partially Implemented,0.31,2.9,2026-08-20
C005,A061,Implemented,0.64,4.4,2026-08-20
C006,A061,Not Implemented,0.0,0.0,2026-08-20
C009,A061,Not Implemented,0.0,0.0,2026-08-20
C010,A061,Not Implemented,0.0,0.0,2026-08-20
C001,A062,Partially Implemented,0.22,1.9,2026-08-20
C002,A062,Partially Implemented,0.63,1.6,2026-08-20
C003,A062,Implemented,0.6,2.9,2026-08-20
C004,A062,Not Implemented,0.0,0.0,2026-08-20
C005,A062,Implemented,0.88,3.4,2026-08-20
C006,A062,Partially Implemented,0.35,2.3,2026-08-20
C008,A062,Implemented,0.85,4.1,2026-08-20
C009,A062,Not Implemented,0.0,0.0,2026-08-20
C010,A062,Not Implemented,0.0,0.0,2026-08-20
C001,A063,Partially Implemented,0.59,1.7,2026-08-20
C002,A063,Implemented,0.79,2.6,2026-08-20
C003,A063,Implemented,0.61,3.7,2026-08-20
C004,A063,Implemented,0.78,2.5,2026-08-20
C005,A063,Not Implemented,0.0,0.0,2026-08-20
C006,A063,Implemented,0.88,3.0,2026-08-20
C007,A063,Implemented,0.73,4.4,2026-08-20
C009,A063,Partially Implemented,0.37,2.0,2026-08-20
C010,A063,Implemented,0.97,3.6,2026-08-20
