impact_id,threat_id,asset_type,impact_type,min_value,likely_value,max_value,unit,confidence,source,last_updated
IA_T002_NETWORK_DEVICE_RECOVERY,T002,Network Device,recovery,225000.0,750000.0,2250000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_NETWORK_DEVICE_DOWNTIME,T002,Network Device,downtime,0.75,3.0,9.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T002_NETWORK_DEVICE_DATA_LOSS,T002,Network Device,data_loss,375000.0,1500000.0,4500000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_NETWORK_DEVICE_REGULATORY,T002,Network Device,regulatory,150000.0,750000.0,2250000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_NETWORK_DEVICE_REPUTATION,T002,Network Device,reputation,225000.0,750000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_WEB_SERVER_RECOVERY,T002,Web Server,recovery,300000.0,1000000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_WEB_SERVER_DOWNTIME,T002,Web Server,downtime,1.0,4.0,12.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T002_WEB_SERVER_DATA_LOSS,T002,Web Server,data_loss,500000.0,2000000.0,6000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_WEB_SERVER_REGULATORY,T002,Web Server,regulatory,200000.0,1000000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_WEB_SERVER_REPUTATION,T002,Web Server,reputation,300000.0,1000000.0,4000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_API_RECOVERY,T002,API,recovery,170000.0,595000.0,1700000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_API_DOWNTIME,T002,API,downtime,0.85,2.55,8.5,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T002_API_DATA_LOSS,T002,API,data_loss,85000.0,425000.0,1700000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_API_REGULATORY,T002,API,regulatory,0.0,255000.0,1275000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_API_REPUTATION,T002,API,reputation,85000.0,425000.0,1700000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_APPLICATION_RECOVERY,T002,Application,recovery,190000.0,665000.0,1900000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_APPLICATION_DOWNTIME,T002,Application,downtime,0.95,2.85,9.5,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T002_APPLICATION_DATA_LOSS,T002,Application,data_loss,95000.0,475000.0,1900000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_APPLICATION_REGULATORY,T002,Application,regulatory,0.0,285000.0,1425000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_APPLICATION_REPUTATION,T002,Application,reputation,95000.0,475000.0,1900000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_ENDPOINT_RECOVERY,T002,Endpoint,recovery,300000.0,1000000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_ENDPOINT_DOWNTIME,T002,Endpoint,downtime,1.0,4.0,12.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T002_ENDPOINT_DATA_LOSS,T002,Endpoint,data_loss,500000.0,2000000.0,6000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_ENDPOINT_REGULATORY,T002,Endpoint,regulatory,200000.0,1000000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_ENDPOINT_REPUTATION,T002,Endpoint,reputation,300000.0,1000000.0,4000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_IDENTITY_SERVER_RECOVERY,T003,Identity Server,recovery,9000.0,27000.0,90000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_IDENTITY_SERVER_DOWNTIME,T003,Identity Server,downtime,0.45,1.8,7.2,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T003_IDENTITY_SERVER_DATA_LOSS,T003,Identity Server,data_loss,9000.0,45000.0,180000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_IDENTITY_SERVER_REGULATORY,T003,Identity Server,regulatory,0.0,0.0,90000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_IDENTITY_SERVER_REPUTATION,T003,Identity Server,reputation,9000.0,45000.0,225000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_DATABASE_RECOVERY,T003,Database,recovery,10000.0,30000.0,100000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_DATABASE_DOWNTIME,T003,Database,downtime,0.5,2.0,8.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T003_DATABASE_DATA_LOSS,T003,Database,data_loss,10000.0,50000.0,200000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_DATABASE_REGULATORY,T003,Database,regulatory,0.0,0.0,100000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_DATABASE_REPUTATION,T003,Database,reputation,10000.0,50000.0,250000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_CLOUD_WORKLOAD_RECOVERY,T003,Cloud Workload,recovery,10000.0,30000.0,100000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_CLOUD_WORKLOAD_DOWNTIME,T003,Cloud Workload,downtime,0.5,2.0,8.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T003_CLOUD_WORKLOAD_DATA_LOSS,T003,Cloud Workload,data_loss,10000.0,50000.0,200000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_CLOUD_WORKLOAD_REGULATORY,T003,Cloud Workload,regulatory,0.0,0.0,100000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_CLOUD_WORKLOAD_REPUTATION,T003,Cloud Workload,reputation,10000.0,50000.0,250000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_NETWORK_DEVICE_RECOVERY,T003,Network Device,recovery,7500.0,22500.0,75000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_NETWORK_DEVICE_DOWNTIME,T003,Network Device,downtime,0.38,1.5,6.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T003_NETWORK_DEVICE_DATA_LOSS,T003,Network Device,data_loss,7500.0,37500.0,150000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_NETWORK_DEVICE_REGULATORY,T003,Network Device,regulatory,0.0,0.0,75000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_NETWORK_DEVICE_REPUTATION,T003,Network Device,reputation,7500.0,37500.0,187500.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_WEB_SERVER_RECOVERY,T003,Web Server,recovery,10000.0,30000.0,100000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_WEB_SERVER_DOWNTIME,T003,Web Server,downtime,0.5,2.0,8.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T003_WEB_SERVER_DATA_LOSS,T003,Web Server,data_loss,10000.0,50000.0,200000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_WEB_SERVER_REGULATORY,T003,Web Server,regulatory,0.0,0.0,100000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_WEB_SERVER_REPUTATION,T003,Web Server,reputation,10000.0,50000.0,250000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_API_RECOVERY,T003,API,recovery,8500.0,25500.0,85000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_API_DOWNTIME,T003,API,downtime,0.42,1.7,6.8,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T003_API_DATA_LOSS,T003,API,data_loss,8500.0,42500.0,170000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_API_REGULATORY,T003,API,regulatory,0.0,0.0,85000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_API_REPUTATION,T003,API,reputation,8500.0,42500.0,212500.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_APPLICATION_RECOVERY,T003,Application,recovery,9500.0,28500.0,95000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_APPLICATION_DOWNTIME,T003,Application,downtime,0.47,1.9,7.6,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T003_APPLICATION_DATA_LOSS,T003,Application,data_loss,9500.0,47500.0,190000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_APPLICATION_REGULATORY,T003,Application,regulatory,0.0,0.0,95000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_APPLICATION_REPUTATION,T003,Application,reputation,9500.0,47500.0,237500.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_ENDPOINT_RECOVERY,T003,Endpoint,recovery,10000.0,30000.0,100000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_ENDPOINT_DOWNTIME,T003,Endpoint,downtime,0.5,2.0,8.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T003_ENDPOINT_DATA_LOSS,T003,Endpoint,data_loss,10000.0,50000.0,200000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_ENDPOINT_REGULATORY,T003,Endpoint,regulatory,0.0,0.0,100000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T003_ENDPOINT_REPUTATION,T003,Endpoint,reputation,10000.0,50000.0,250000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_IDENTITY_SERVER_RECOVERY,T004,Identity Server,recovery,270000.0,1080000.0,3600000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_IDENTITY_SERVER_DOWNTIME,T004,Identity Server,downtime,0.9,5.4,18.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T004_IDENTITY_SERVER_DATA_LOSS,T004,Identity Server,data_loss,270000.0,1350000.0,5400000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_IDENTITY_SERVER_REGULATORY,T004,Identity Server,regulatory,90000.0,630000.0,3600000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_IDENTITY_SERVER_REPUTATION,T004,Identity Server,reputation,270000.0,1080000.0,4500000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_DATABASE_RECOVERY,T004,Database,recovery,200000.0,1000000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_DATABASE_DOWNTIME,T004,Database,downtime,1.0,5.0,18.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T004_DATABASE_DATA_LOSS,T004,Database,data_loss,200000.0,1000000.0,5000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_DATABASE_REGULATORY,T004,Database,regulatory,100000.0,500000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_DATABASE_REPUTATION,T004,Database,reputation,200000.0,1000000.0,4000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_CLOUD_WORKLOAD_RECOVERY,T004,Cloud Workload,recovery,200000.0,1000000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_CLOUD_WORKLOAD_DOWNTIME,T004,Cloud Workload,downtime,1.0,5.0,18.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T004_CLOUD_WORKLOAD_DATA_LOSS,T004,Cloud Workload,data_loss,200000.0,1000000.0,5000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_CLOUD_WORKLOAD_REGULATORY,T004,Cloud Workload,regulatory,100000.0,500000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_CLOUD_WORKLOAD_REPUTATION,T004,Cloud Workload,reputation,200000.0,1000000.0,4000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_NETWORK_DEVICE_RECOVERY,T004,Network Device,recovery,150000.0,750000.0,2250000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_NETWORK_DEVICE_DOWNTIME,T004,Network Device,downtime,0.75,3.75,13.5,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T004_NETWORK_DEVICE_DATA_LOSS,T004,Network Device,data_loss,150000.0,750000.0,3750000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_NETWORK_DEVICE_REGULATORY,T004,Network Device,regulatory,75000.0,375000.0,2250000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_NETWORK_DEVICE_REPUTATION,T004,Network Device,reputation,150000.0,750000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
I031,T004,Web Server,recovery,200000.0,1000000.0,3000000.0,INR,medium,synthetic,2026-09-05
I032,T004,Web Server,downtime,1.0,5.0,18.0,hours,medium,synthetic,2026-09-05
I033,T004,Web Server,data_loss,200000.0,1000000.0,5000000.0,INR,medium,synthetic,2026-09-05
I034,T004,Web Server,regulatory,100000.0,500000.0,3000000.0,INR,low,synthetic,2026-09-05
I035,T004,Web Server,reputation,200000.0,1000000.0,4000000.0,INR,low,synthetic,2026-09-05
IA_T004_API_RECOVERY,T004,API,recovery,255000.0,1020000.0,3400000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_API_DOWNTIME,T004,API,downtime,0.85,5.1,17.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T004_API_DATA_LOSS,T004,API,data_loss,255000.0,1275000.0,5100000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_API_REGULATORY,T004,API,regulatory,85000.0,595000.0,3400000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_API_REPUTATION,T004,API,reputation,255000.0,1020000.0,4250000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_APPLICATION_RECOVERY,T004,Application,recovery,285000.0,1140000.0,3800000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_APPLICATION_DOWNTIME,T004,Application,downtime,0.95,5.7,19.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T004_APPLICATION_DATA_LOSS,T004,Application,data_loss,285000.0,1425000.0,5700000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_APPLICATION_REGULATORY,T004,Application,regulatory,95000.0,665000.0,3800000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_APPLICATION_REPUTATION,T004,Application,reputation,285000.0,1140000.0,4750000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_ENDPOINT_RECOVERY,T004,Endpoint,recovery,200000.0,1000000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_ENDPOINT_DOWNTIME,T004,Endpoint,downtime,1.0,5.0,18.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T004_ENDPOINT_DATA_LOSS,T004,Endpoint,data_loss,200000.0,1000000.0,5000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_ENDPOINT_REGULATORY,T004,Endpoint,regulatory,100000.0,500000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T004_ENDPOINT_REPUTATION,T004,Endpoint,reputation,200000.0,1000000.0,4000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_IDENTITY_SERVER_RECOVERY,T005,Identity Server,recovery,180000.0,630000.0,2250000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_IDENTITY_SERVER_DOWNTIME,T005,Identity Server,downtime,0.9,3.6,14.4,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T005_IDENTITY_SERVER_DATA_LOSS,T005,Identity Server,data_loss,90000.0,630000.0,2700000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_IDENTITY_SERVER_REGULATORY,T005,Identity Server,regulatory,0.0,270000.0,1800000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_IDENTITY_SERVER_REPUTATION,T005,Identity Server,reputation,90000.0,630000.0,2700000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_DATABASE_RECOVERY,T005,Database,recovery,200000.0,700000.0,2500000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_DATABASE_DOWNTIME,T005,Database,downtime,1.0,4.0,16.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T005_DATABASE_DATA_LOSS,T005,Database,data_loss,100000.0,700000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_DATABASE_REGULATORY,T005,Database,regulatory,0.0,300000.0,2000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_DATABASE_REPUTATION,T005,Database,reputation,100000.0,700000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_CLOUD_WORKLOAD_RECOVERY,T005,Cloud Workload,recovery,200000.0,700000.0,2500000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_CLOUD_WORKLOAD_DOWNTIME,T005,Cloud Workload,downtime,1.0,4.0,16.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T005_CLOUD_WORKLOAD_DATA_LOSS,T005,Cloud Workload,data_loss,100000.0,700000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_CLOUD_WORKLOAD_REGULATORY,T005,Cloud Workload,regulatory,0.0,300000.0,2000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_CLOUD_WORKLOAD_REPUTATION,T005,Cloud Workload,reputation,100000.0,700000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_NETWORK_DEVICE_RECOVERY,T005,Network Device,recovery,150000.0,525000.0,1875000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_NETWORK_DEVICE_DOWNTIME,T005,Network Device,downtime,0.75,3.0,12.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T005_NETWORK_DEVICE_DATA_LOSS,T005,Network Device,data_loss,75000.0,525000.0,2250000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_NETWORK_DEVICE_REGULATORY,T005,Network Device,regulatory,0.0,225000.0,1500000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_NETWORK_DEVICE_REPUTATION,T005,Network Device,reputation,75000.0,525000.0,2250000.0,INR,low,synthetic_prototype_assumption,2026-09-05
I041,T005,Web Server,recovery,200000.0,700000.0,2500000.0,INR,medium,synthetic,2026-09-05
I042,T005,Web Server,downtime,1.0,4.0,16.0,hours,medium,synthetic,2026-09-05
I043,T005,Web Server,data_loss,100000.0,700000.0,3000000.0,INR,low,synthetic,2026-09-05
I044,T005,Web Server,regulatory,0.0,300000.0,2000000.0,INR,low,synthetic,2026-09-05
I045,T005,Web Server,reputation,100000.0,700000.0,3000000.0,INR,low,synthetic,2026-09-05
IA_T005_API_RECOVERY,T005,API,recovery,170000.0,595000.0,2125000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_API_DOWNTIME,T005,API,downtime,0.85,3.4,13.6,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T005_API_DATA_LOSS,T005,API,data_loss,85000.0,595000.0,2550000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_API_REGULATORY,T005,API,regulatory,0.0,255000.0,1700000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_API_REPUTATION,T005,API,reputation,85000.0,595000.0,2550000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_APPLICATION_RECOVERY,T005,Application,recovery,190000.0,665000.0,2375000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_APPLICATION_DOWNTIME,T005,Application,downtime,0.95,3.8,15.2,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T005_APPLICATION_DATA_LOSS,T005,Application,data_loss,95000.0,665000.0,2850000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_APPLICATION_REGULATORY,T005,Application,regulatory,0.0,285000.0,1900000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T005_APPLICATION_REPUTATION,T005,Application,reputation,95000.0,665000.0,2850000.0,INR,low,synthetic_prototype_assumption,2026-09-05
