asset_id,asset_name,asset_type,service_id,criticality,internet_exposed,environment,owner
A096,CLOUD-WORKLOAD-096,Cloud Workload,S009,8,No,Production,BU01
A097,APPLICATION-097,Application,S009,10,No,Production,BU01
A098,IDENTITY-SERVER-098,Identity Server,S005,3,No,Production,BU03
A099,DATABASE-099,Database,S007,8,No,Production,BU02
A100,APPLICATION-100,Application,S006,6,No,Production,BU05
A101,CLOUD-WORKLOAD-101,Cloud Workload,S008,9,Yes,Production,BU04
A102,NETWORK-DEVICE-102,Network Device,S005,4,No,Development,BU03
A103,DATABASE-103,Database,S008,7,No,Production,BU04
A104,ENDPOINT-104,Endpoint,S003,7,No,Development,BU01
A105,API-105,API,S004,8,Yes,Production,BU04
A106,IDENTITY-SERVER-106,Identity Server,S009,8,No,Production,BU01
A107,CLOUD-WORKLOAD-107,Cloud Workload,S005,4,Yes,Production,BU03
A108,ENDPOINT-108,Endpoint,S008,9,No,Production,BU04
A109,IDENTITY-SERVER-109,Identity Server,S004,7,No,Production,BU04
A110,ENDPOINT-110,Endpoint,S007,9,No,Development,BU02
A111,DATABASE-111,Database,S003,9,No,Production,BU01
A112,DATABASE-112,Database,S004,9,No,Production,BU04
A113,NETWORK-DEVICE-113,Network Device,S002,10,No,Production,BU02
A114,WEB-SERVER-114,Web Server,S003,8,Yes,Production,BU01
A115,ENDPOINT-115,Endpoint,S005,5,No,Production,BU03
A116,ENDPOINT-116,Endpoint,S008,10,No,Production,BU04
A117,NETWORK-DEVICE-117,Network Device,S001,8,No,Production,BU01
A118,IDENTITY-SERVER-118,Identity Server,S010,8,No,Production,BU03
A119,IDENTITY-SERVER-119,Identity Server,S008,8,No,Production,BU04
A120,CLOUD-WORKLOAD-120,Cloud Workload,S008,9,No,Production,BU04
A121,DATABASE-121,Database,S010,8,No,Production,BU03
A122,ENDPOINT-122,Endpoint,S005,3,No,Production,BU03
A123,DATABASE-123,Database,S003,10,No,Production,BU01
A124,CLOUD-WORKLOAD-124,Cloud Workload,S004,8,Yes,Production,BU04
A125,IDENTITY-SERVER-125,Identity Server,S006,7,No,Production,BU05
A126,ENDPOINT-126,Endpoint,S007,10,No,Production,BU02
A127,NETWORK-DEVICE-127,Network Device,S001,9,No,Production,BU01
A128,WEB-SERVER-128,Web Server,S004,8,Yes,Production,BU04
A129,APPLICATION-129,Application,S002,10,No,Production,BU02
A130,IDENTITY-SERVER-130,Identity Server,S010,9,No,Production,BU03
A131,NETWORK-DEVICE-131,Network Device,S004,8,No,Development,BU04
A132,ENDPOINT-132,Endpoint,S007,7,No,Development,BU02
A133,DATABASE-133,Database,S002,10,No,Production,BU02
A134,API-134,API,S007,10,Yes,Production,BU02
A135,DATABASE-135,Database,S002,8,No,Production,BU02
A136,API-136,API,S009,10,Yes,Production,BU01
A137,API-137,API,S003,10,Yes,Production,BU01
A138,IDENTITY-SERVER-138,Identity Server,S010,9,No,Production,BU03
A139,WEB-SERVER-139,Web Server,S005,4,No,Production,BU03
A140,APPLICATION-140,Application,S009,8,No,Production,BU01
A141,API-141,API,S003,9,Yes,Production,BU01
A142,IDENTITY-SERVER-142,Identity Server,S009,9,No,Development,BU01
A143,IDENTITY-SERVER-143,Identity Server,S002,10,No,Production,BU02
A144,WEB-SERVER-144,Web Server,S009,10,Yes,Production,BU01
A145,WEB-SERVER-145,Web Server,S004,9,Yes,Production,BU04
A146,WEB-SERVER-146,Web Server,S009,8,Yes,Production,BU01
A147,IDENTITY-SERVER-147,Identity Server,S006,6,No,Production,BU05
A148,IDENTITY-SERVER-148,Identity Server,S006,5,No,Production,BU05
A149,IDENTITY-SERVER-149,Identity Server,S007,9,No,Development,BU02
A150,IDENTITY-SERVER-150,Identity Server,S001,8,No,Production,BU01
