vulnerability_id,asset_id,cve_id,cvss_score,severity,exploitability,known_exploited,first_seen,days_open,patch_available
V0120,A145,CVE-2026-82409,9.3,Critical,0.9,False,2024-07-10,24,True
V0121,A146,CVE-2023-55963,9.7,Critical,0.62,False,2026-04-14,415,False
V0122,A066,CVE-2024-88286,7.7,High,0.85,False,2026-08-30,275,True
V0123,A038,CVE-2025-4465,7.1,High,0.77,False,2024-12-26,219,False
V0124,A102,CVE-2026-34159,8.1,Critical,0.56,False,2026-02-10,117,False
V0125,A066,CVE-2023-70192,6.5,High,0.5,False,2025-10-14,333,False
V0126,A136,CVE-2024-91700,6.2,High,0.21,False,2024-07-31,252,True
V0127,A079,CVE-2025-92189,8.2,Critical,0.32,False,2024-10-16,312,True
V0128,A141,CVE-2026-45727,4.6,Medium,0.87,False,2026-05-29,255,True
V0129,A058,CVE-2023-22639,7.0,High,0.7,False,2025-12-27,200,True
V0130,A074,CVE-2024-95922,5.6,Medium,0.49,False,2026-01-16,243,True
V0131,A136,CVE-2025-46181,4.8,Medium,0.4,False,2025-05-22,393,True
V0132,A019,CVE-2026-80337,5.1,Medium,0.38,False,2024-07-06,195,True
V0133,A129,CVE-2023-94841,7.8,High,0.21,False,2024-10-30,283,True
V0134,A142,CVE-2024-54284,8.1,Critical,0.42,False,2025-10-15,11,True
V0135,A028,CVE-2025-89605,5.0,Medium,0.27,False,2024-07-11,45,True
V0136,A127,CVE-2026-18751,7.8,High,0.35,False,2024-06-22,96,True
V0137,A116,CVE-2023-42042,7.4,High,0.54,False,2024-07-30,308,True
V0138,A034,CVE-2024-42515,6.3,High,0.57,False,2025-09-10,46,True
V0139,A051,CVE-2025-69984,7.8,High,0.65,False,2025-02-08,92,True
V0140,A119,CVE-2026-51711,8.5,Critical,0.3,False,2024-03-20,14,True
V0141,A072,CVE-2023-88135,5.7,Medium,0.29,False,2026-04-29,31,True
V0142,A140,CVE-2024-80837,7.4,High,0.59,False,2025-08-15,382,True
V0143,A048,CVE-2025-89812,5.4,Medium,0.85,False,2024-09-02,118,False
V0144,A150,CVE-2026-24477,5.6,Medium,0.8,False,2024-11-25,109,True
V0145,A129,CVE-2023-26090,5.2,Medium,0.24,False,2024-12-20,45,False
V0146,A110,CVE-2024-10610,7.1,High,0.14,False,2024-09-21,226,True
V0147,A009,CVE-2025-99890,5.0,Medium,0.94,False,2026-06-02,295,True
V0148,A088,CVE-2026-71491,5.2,Medium,0.86,False,2025-01-28,315,False
V0149,A033,CVE-2023-47287,8.6,Critical,0.42,False,2025-04-28,141,True
V0150,A036,CVE-2024-12497,5.0,Medium,0.3,True,2024-03-24,188,True
V0151,A128,CVE-2025-65939,6.6,High,0.15,False,2024-06-27,72,True
V0152,A124,CVE-2026-41877,5.1,Medium,0.78,False,2024-04-25,135,False
V0153,A099,CVE-2023-65770,6.7,High,0.19,False,2025-05-19,312,True
V0154,A027,CVE-2024-5109,6.8,High,0.9,False,2024-11-01,318,True
V0155,A141,CVE-2025-80520,4.7,Medium,0.22,False,2025-05-19,419,False
V0156,A006,CVE-2026-66364,5.8,Medium,0.86,False,2025-03-12,313,True
V0157,A129,CVE-2023-23044,5.6,Medium,0.69,False,2025-10-07,391,True
V0158,A039,CVE-2024-81980,5.0,Medium,0.52,False,2024-06-21,75,True
V0159,A100,CVE-2025-4782,5.4,Medium,0.53,False,2025-11-21,394,True
V0160,A118,CVE-2026-60124,8.7,Critical,0.51,False,2024-04-13,220,False
V0161,A039,CVE-2023-30785,9.0,Critical,0.36,False,2024-12-31,29,True
V0162,A042,CVE-2024-6169,6.5,High,0.41,False,2025-11-09,48,True
V0163,A060,CVE-2025-98678,8.1,Critical,0.85,False,2025-04-24,265,False
V0164,A139,CVE-2026-67496,7.3,High,0.48,False,2025-09-20,25,True
V0165,A029,CVE-2023-73922,8.6,Critical,0.49,False,2024-04-10,253,True
V0166,A051,CVE-2024-43662,4.4,Medium,0.86,False,2024-12-06,109,False
V0167,A081,CVE-2025-80020,4.6,Medium,0.58,False,2024-04-11,115,True
V0168,A145,CVE-2026-13072,9.1,Critical,0.21,True,2024-02-25,381,False
V0169,A037,CVE-2023-57930,8.3,Critical,0.86,False,2025-11-09,372,False
V0170,A140,CVE-2024-68561,5.3,Medium,0.32,False,2025-07-09,263,True
V0171,A050,CVE-2025-87038,7.5,High,0.3,False,2024-06-09,298,False
V0172,A091,CVE-2026-27552,5.1,Medium,0.21,False,2024-05-04,241,False
V0173,A125,CVE-2023-20875,9.0,Critical,0.86,False,2026-03-13,149,True
V0174,A083,CVE-2024-75071,9.7,Critical,0.76,True,2025-08-18,5,True
V0175,A112,CVE-2025-58603,6.5,High,0.6,False,2025-09-14,207,True
V0176,A038,CVE-2026-77797,6.9,High,0.44,False,2026-06-04,138,False
V0177,A114,CVE-2023-60051,7.1,High,0.85,False,2024-05-08,80,True
V0178,A128,CVE-2024-4045,9.5,Critical,0.7,False,2025-10-06,50,False
V0179,A124,CVE-2025-69244,5.1,Medium,0.46,False,2026-06-09,70,True
V0180,A115,CVE-2026-25261,7.8,High,0.6,False,2025-09-18,40,True
V0181,A087,CVE-2023-31687,5.7,Medium,0.14,False,2024-02-29,383,False
V0182,A127,CVE-2024-93158,5.8,Medium,0.84,False,2024-11-10,192,True
V0183,A080,CVE-2025-82273,5.3,Medium,0.29,True,2024-08-16,208,False
V0184,A028,CVE-2026-61023,5.3,Medium,0.19,False,2025-04-08,302,True
V0185,A006,CVE-2023-68075,5.1,Medium,0.25,False,2024-08-15,97,True
V0186,A118,CVE-2024-77424,8.1,Critical,0.69,False,2026-01-11,407,True
V0187,A043,CVE-2025-18154,6.6,High,0.74,True,2024-05-22,213,True
V0188,A011,CVE-2026-14552,8.2,Critical,0.85,False,2024-04-04,331,False
V0189,A060,CVE-2023-84052,8.1,Critical,0.75,False,2024-12-12,45,True
V0190,A017,CVE-2024-84072,6.5,High,0.8,False,2025-02-04,169,True
V0191,A112,CVE-2025-8071,5.1,Medium,0.14,True,2024-12-08,96,True
V0192,A120,CVE-2026-19528,7.0,High,0.66,False,2024-05-03,320,False
V0193,A070,CVE-2023-26561,7.5,High,0.35,False,2026-06-01,51,False
V0194,A118,CVE-2024-82064,4.6,Medium,0.54,False,2026-01-23,112,True
V0195,A118,CVE-2025-49605,9.8,Critical,0.71,False,2025-03-02,235,True
V0196,A005,CVE-2026-9145,9.7,Critical,0.18,True,2025-03-01,358,True
V0197,A102,CVE-2023-61270,6.7,High,0.41,False,2026-05-11,164,True
V0198,A094,CVE-2024-11824,5.8,Medium,0.82,False,2025-04-04,119,True
V0199,A081,CVE-2025-63779,6.6,High,0.58,False,2025-04-27,337,True
V0200,A115,CVE-2026-67702,5.4,Medium,0.39,False,2024-10-13,125,True
V0201,A082,CVE-2023-55117,8.9,Critical,0.64,False,2025-10-19,39,True
V0202,A056,CVE-2024-32987,5.2,Medium,0.15,False,2026-04-05,94,True
V0203,A024,CVE-2025-88607,6.5,High,0.63,False,2026-03-02,42,True
V0204,A049,CVE-2026-61022,5.8,Medium,0.8,False,2025-05-10,217,True
V0205,A116,CVE-2023-16898,7.0,High,0.55,False,2025-04-22,66,False
V0206,A114,CVE-2024-34106,8.8,Critical,0.26,True,2024-09-13,396,True
V0207,A100,CVE-2025-77444,4.5,Medium,0.33,False,2024-10-03,308,False
V0208,A122,CVE-2026-16290,6.3,High,0.74,False,2024-09-29,101,True
V0209,A133,CVE-2023-96713,7.8,High,0.63,False,2024-02-01,178,True
V0210,A007,CVE-2024-22884,5.6,Medium,0.24,False,2024-12-29,282,False
V0211,A067,CVE-2025-57434,9.9,Critical,0.28,False,2025-08-09,193,True
V0212,A053,CVE-2026-11575,5.4,Medium,0.93,False,2026-06-25,333,True
V0213,A100,CVE-2023-56461,5.7,Medium,0.68,False,2024-10-28,84,True
V0214,A103,CVE-2024-63104,9.5,Critical,0.55,False,2026-02-08,148,True
V0215,A022,CVE-2025-99691,7.1,High,0.83,False,2024-02-17,275,True
V0216,A012,CVE-2026-85924,4.3,Medium,0.17,False,2024-05-29,271,False
V0217,A006,CVE-2023-61638,5.8,Medium,0.75,False,2025-01-24,97,True
V0218,A148,CVE-2024-95902,6.7,High,0.72,False,2024-05-17,341,True
V0219,A113,CVE-2025-97843,4.2,Medium,0.24,False,2026-05-11,80,True
V0220,A037,CVE-2026-15872,8.5,Critical,0.93,False,2026-01-03,133,True
V0221,A125,CVE-2023-21702,8.2,Critical,0.22,False,2024-04-04,357,False
V0222,A085,CVE-2024-86636,5.8,Medium,0.74,False,2024-11-12,200,True
V0223,A079,CVE-2025-49671,7.6,High,0.4,False,2026-07-02,402,True
V0224,A118,CVE-2026-5821,9.7,Critical,0.32,False,2026-06-06,229,True
V0225,A035,CVE-2023-13847,8.0,High,0.53,False,2025-05-27,260,True
V0226,A106,CVE-2024-74767,7.2,High,0.82,False,2024-04-20,11,True
V0227,A023,CVE-2025-52626,7.3,High,0.18,False,2024-12-05,300,True
V0228,A130,CVE-2026-66462,8.4,Critical,0.35,False,2025-08-27,19,False
V0229,A043,CVE-2023-16245,7.1,High,0.87,False,2026-01-29,187,True
V0230,A109,CVE-2024-84583,9.4,Critical,0.7,False,2025-03-10,64,True
V0231,A020,CVE-2025-50818,4.2,Medium,0.88,False,2026-01-14,247,True
V0232,A097,CVE-2026-90689,7.3,High,0.59,False,2025-01-30,37,False
V0233,A113,CVE-2023-37720,4.9,Medium,0.41,False,2024-04-28,250,True
V0234,A124,CVE-2024-78066,7.7,High,0.25,False,2024-10-20,392,False
V0235,A102,CVE-2025-92558,6.0,Medium,0.18,False,2024-05-14,59,False
V0236,A106,CVE-2026-99678,4.7,Medium,0.5,False,2025-02-22,414,True
V0237,A035,CVE-2023-64932,8.0,High,0.26,True,2025-08-10,182,True
V0238,A033,CVE-2024-11964,4.1,Medium,0.75,False,2025-12-06,35,False
V0239,A131,CVE-2025-1418,6.0,Medium,0.29,False,2024-07-29,33,False
V0240,A033,CVE-2026-48568,4.4,Medium,0.78,False,2025-08-17,83,True
V0241,A042,CVE-2023-79789,6.1,High,0.74,False,2025-06-10,312,False
V0242,A072,CVE-2024-99157,7.7,High,0.26,False,2025-05-07,234,True
V0243,A102,CVE-2025-45661,7.3,High,0.83,False,2025-10-29,411,True
V0244,A017,CVE-2026-13215,8.5,Critical,0.34,False,2026-01-10,8,True
V0245,A066,CVE-2023-67089,8.0,High,0.19,True,2025-12-17,295,False
V0246,A131,CVE-2024-55639,5.8,Medium,0.79,False,2024-02-15,212,True
V0247,A051,CVE-2025-49631,7.1,High,0.46,True,2026-06-17,367,True
V0248,A026,CVE-2026-18060,8.1,Critical,0.9,False,2026-04-11,35,True
V0249,A035,CVE-2023-59407,9.8,Critical,0.77,True,2024-08-05,340,True
V0250,A076,CVE-2024-62642,8.5,Critical,0.67,False,2024-03-20,125,True
V0251,A102,CVE-2025-18357,8.3,Critical,0.7,False,2024-08-03,284,True
V0252,A047,CVE-2026-11000,7.5,High,0.41,False,2026-01-16,331,True
V0253,A018,CVE-2023-38974,9.6,Critical,0.42,False,2025-04-30,300,True
V0254,A136,CVE-2024-82342,7.8,High,0.19,False,2025-08-26,345,True
V0255,A076,CVE-2025-60910,9.2,Critical,0.19,False,2025-09-22,327,False
V0256,A150,CVE-2026-74436,5.0,Medium,0.19,True,2025-12-06,265,True
V0257,A128,CVE-2023-70706,9.7,Critical,0.53,False,2024-03-07,148,False
V0258,A029,CVE-2024-50138,5.3,Medium,0.23,False,2024-04-13,3,True
V0259,A033,CVE-2025-61482,6.7,High,0.28,False,2025-10-03,417,True
V0260,A019,CVE-2026-49134,8.0,High,0.52,False,2024-07-30,44,True
V0261,A007,CVE-2023-58889,5.5,Medium,0.26,False,2025-11-12,147,True
V0262,A133,CVE-2024-89342,9.1,Critical,0.32,False,2026-08-15,364,True
V0263,A150,CVE-2025-28224,6.6,High,0.75,False,2025-08-29,337,False
V0264,A150,CVE-2026-86086,7.3,High,0.89,False,2024-12-02,119,True
V0265,A068,CVE-2023-79812,9.7,Critical,0.29,False,2025-02-02,128,False
V0266,A037,CVE-2024-9770,4.3,Medium,0.9,False,2024-06-02,281,True
V0267,A010,CVE-2025-11345,6.9,High,0.19,False,2024-03-22,129,False
V0268,A129,CVE-2026-97222,9.2,Critical,0.68,False,2024-10-09,22,False
V0269,A032,CVE-2023-48958,8.8,Critical,0.21,False,2024-09-16,206,False
V0270,A100,CVE-2024-56669,6.8,High,0.93,False,2025-10-30,303,True
V0271,A014,CVE-2025-25819,8.0,High,0.76,False,2025-03-28,393,False
V0272,A054,CVE-2026-74974,4.2,Medium,0.36,False,2026-03-26,414,True
V0273,A090,CVE-2023-75873,5.5,Medium,0.52,False,2024-12-24,195,False
V0274,A052,CVE-2024-74844,9.4,Critical,0.62,False,2024-05-10,120,True
V0275,A128,CVE-2025-53220,5.1,Medium,0.21,True,2026-03-26,233,True
V0276,A138,CVE-2026-98271,8.0,High,0.92,False,2025-08-30,15,True
V0277,A115,CVE-2023-71572,6.7,High,0.42,False,2025-02-10,225,True
V0278,A015,CVE-2024-62509,6.7,High,0.8,False,2024-08-06,168,True
V0279,A099,CVE-2025-57375,4.9,Medium,0.84,False,2025-03-02,283,True
V0280,A059,CVE-2026-62611,9.6,Critical,0.76,True,2025-01-16,190,True
V0281,A147,CVE-2023-5940,9.8,Critical,0.61,False,2024-07-25,38,True
V0282,A092,CVE-2024-87716,6.1,High,0.67,False,2025-04-29,201,False
V0283,A019,CVE-2025-61638,5.6,Medium,0.42,False,2025-02-24,296,True
V0284,A054,CVE-2026-86032,5.4,Medium,0.69,False,2026-04-22,118,False
V0285,A065,CVE-2023-52715,5.4,Medium,0.45,False,2025-07-14,266,False
V0286,A104,CVE-2024-79853,5.7,Medium,0.2,False,2024-07-04,346,True
V0287,A044,CVE-2025-75271,6.6,High,0.8,False,2024-07-05,9,True
V0288,A064,CVE-2026-12415,4.8,Medium,0.91,False,2025-10-10,141,False
V0289,A145,CVE-2023-46201,5.0,Medium,0.19,False,2024-08-23,281,True
V0290,A121,CVE-2024-73816,6.1,High,0.29,False,2025-03-01,411,False
V0291,A144,CVE-2025-97315,5.3,Medium,0.33,True,2025-02-14,95,True
V0292,A048,CVE-2026-30721,7.6,High,0.15,False,2025-07-06,251,True
V0293,A097,CVE-2023-81772,8.8,Critical,0.34,False,2026-06-15,74,True
V0294,A024,CVE-2024-60973,6.4,High,0.66,False,2025-06-28,112,True
V0295,A092,CVE-2025-56947,7.4,High,0.83,False,2025-01-05,68,False
V0296,A143,CVE-2026-37865,5.2,Medium,0.69,False,2024-10-08,230,True
V0297,A069,CVE-2023-77434,8.6,Critical,0.85,True,2024-09-04,393,True
V0298,A030,CVE-2024-34146,9.6,Critical,0.38,False,2025-09-25,218,True
V0299,A051,CVE-2025-12181,5.7,Medium,0.83,False,2025-06-03,172,True
V0300,A052,CVE-2026-15175,7.1,High,0.5,False,2025-09-14,415,True
V0301,A147,CVE-2023-78906,5.3,Medium,0.65,False,2025-09-05,357,True
V0302,A149,CVE-2024-95904,6.7,High,0.72,False,2024-05-20,284,True
V0303,A008,CVE-2025-95404,6.2,High,0.84,False,2024-08-30,20,True
V0304,A002,CVE-2026-28820,4.1,Medium,0.68,False,2025-04-02,52,True
V0305,A098,CVE-2023-7399,9.0,Critical,0.49,True,2026-06-01,52,True
V0306,A035,CVE-2024-24449,4.1,Medium,0.51,False,2026-08-06,21,True
V0307,A039,CVE-2025-72694,6.6,High,0.36,False,2025-10-25,405,True
V0308,A053,CVE-2026-7997,5.9,Medium,0.36,False,2025-11-12,77,False
V0309,A004,CVE-2023-6940,8.0,High,0.69,False,2024-12-21,95,True
V0310,A082,CVE-2024-87676,7.1,High,0.17,False,2024-06-14,384,False
V0311,A042,CVE-2025-44731,4.2,Medium,0.81,False,2026-01-05,313,True
V0312,A090,CVE-2026-58741,5.1,Medium,0.85,False,2024-03-02,329,True
V0313,A096,CVE-2023-6397,7.4,High,0.36,False,2025-11-11,234,False
V0314,A001,CVE-2024-15054,8.0,High,0.26,False,2026-01-29,44,True
V0315,A137,CVE-2025-14954,5.3,Medium,0.38,False,2024-08-11,118,True
V0316,A052,CVE-2026-35862,8.9,Critical,0.71,False,2024-05-14,199,True
V0317,A100,CVE-2023-55810,6.9,High,0.72,False,2026-02-18,303,True
V0318,A079,CVE-2024-19603,6.0,Medium,0.29,False,2024-09-22,28,True
V0319,A059,CVE-2025-18119,5.3,Medium,0.32,True,2025-03-29,213,False
V0320,A090,CVE-2026-55057,9.3,Critical,0.59,True,2024-01-03,162,False
V0321,A007,CVE-2023-38899,6.7,High,0.47,False,2024-01-12,206,True
V0322,A118,CVE-2024-92905,5.2,Medium,0.44,False,2024-11-18,73,True
V0323,A141,CVE-2025-28472,8.9,Critical,0.17,False,2025-12-26,293,True
V0324,A100,CVE-2026-72101,7.5,High,0.51,True,2024-06-08,290,True
V0325,A146,CVE-2023-47677,5.0,Medium,0.57,False,2024-10-24,284,True
V0326,A026,CVE-2024-9106,5.8,Medium,0.38,False,2024-10-07,31,True
V0327,A119,CVE-2025-76182,8.5,Critical,0.64,False,2025-06-24,65,True
V0328,A110,CVE-2026-44569,6.3,High,0.56,True,2025-06-25,150,True
V0329,A128,CVE-2023-71726,8.8,Critical,0.72,False,2026-07-04,164,True
V0330,A073,CVE-2024-55540,4.7,Medium,0.32,True,2024-03-25,39,True
V0331,A115,CVE-2025-48114,7.1,High,0.84,False,2026-02-26,69,False
V0332,A004,CVE-2026-31252,6.8,High,0.58,True,2026-01-08,332,True
V0333,A096,CVE-2023-27621,6.3,High,0.43,False,2026-01-15,311,False
V0334,A128,CVE-2024-15177,8.2,Critical,0.91,False,2024-05-01,128,True
V0335,A091,CVE-2025-49796,9.8,Critical,0.67,True,2024-03-14,317,True
V0336,A052,CVE-2026-80164,5.3,Medium,0.75,False,2026-07-02,51,False
