control_id,asset_id,status,coverage,maturity,last_assessed
C004,A008,Active,0.61,Developing,2025-12-24
C005,A008,Active,0.45,Managed,2026-01-23
C006,A008,Active,0.64,Defined,2025-10-21
C009,A008,Active,0.71,Defined,2025-11-08
C010,A008,Active,0.9,Defined,2026-08-08
C001,A009,Partial,0.6,Developing,2026-06-16
C002,A009,Active,0.99,Defined,2026-05-31
C003,A009,Planned,0.34,Defined,2025-11-01
C004,A009,Active,0.79,Managed,2026-03-26
C005,A009,Active,0.26,Defined,2025-10-14
C006,A009,Active,0.57,Defined,2026-03-27
C007,A009,Active,0.62,Defined,2026-04-22
C009,A009,Planned,0.89,Managed,2026-03-06
C010,A009,Planned,0.99,Managed,2025-11-28
C001,A010,Active,0.78,Initial,2026-05-01
C002,A010,Planned,0.89,Defined,2025-12-22
C003,A010,Active,0.72,Developing,2026-03-21
C004,A010,Partial,0.84,Defined,2026-05-29
C005,A010,Partial,0.92,Developing,2026-02-12
C006,A010,Active,0.58,Defined,2025-11-26
C007,A010,Active,0.29,Initial,2026-07-26
C009,A010,Partial,0.51,Defined,2026-08-05
C010,A010,Active,0.69,Developing,2026-02-15
C001,A011,Planned,0.49,Initial,2026-03-18
C002,A011,Active,0.32,Defined,2026-05-25
C003,A011,Active,0.76,Managed,2025-12-22
C004,A011,Partial,0.69,Managed,2025-12-13
C005,A011,Active,0.85,Defined,2025-10-08
C006,A011,Partial,0.71,Managed,2026-04-29
C009,A011,Active,0.29,Defined,2025-11-07
C010,A011,Active,0.9,Developing,2026-09-01
C001,A012,Partial,0.59,Managed,2025-11-02
C002,A012,Active,0.69,Developing,2025-12-10
C003,A012,Partial,0.67,Defined,2025-12-30
C004,A012,Active,0.85,Developing,2026-06-30
C005,A012,Active,0.99,Managed,2026-01-08
C006,A012,Partial,0.67,Defined,2026-08-13
C009,A012,Partial,0.73,Defined,2025-11-16
C010,A012,Inactive,0.33,Managed,2025-12-15
C001,A013,Active,0.93,Developing,2026-04-27
C003,A013,Active,0.83,Developing,2025-10-13
C004,A013,Active,0.35,Developing,2025-12-30
C005,A013,Inactive,0.89,Defined,2026-03-16
C006,A013,Inactive,0.33,Defined,2026-02-23
C009,A013,Partial,0.63,Defined,2026-03-06
C010,A013,Active,1.0,Defined,2026-06-17
C001,A014,Partial,0.8,Defined,2026-06-05
C002,A014,Active,0.81,Defined,2026-01-25
C003,A014,Active,0.97,Developing,2026-03-16
C004,A014,Active,0.47,Defined,2025-12-24
C005,A014,Active,0.53,Developing,2026-02-06
C006,A014,Partial,0.57,Developing,2025-10-18
C007,A014,Planned,0.73,Defined,2026-05-15
C009,A014,Active,0.3,Defined,2026-01-13
C010,A014,Active,0.68,Initial,2026-02-17
C001,A015,Partial,0.7,Managed,2025-10-03
C003,A015,Active,0.67,Developing,2026-03-09
C004,A015,Active,0.38,Defined,2026-06-19
C005,A015,Partial,0.92,Defined,2026-02-17
C006,A015,Active,0.85,Managed,2025-10-29
C009,A015,Partial,0.78,Defined,2026-05-28
C010,A015,Active,0.89,Managed,2025-12-10
C001,A016,Inactive,0.63,Defined,2025-10-13
C002,A016,Planned,0.57,Developing,2026-01-20
C003,A016,Active,0.34,Defined,2025-10-25
C004,A016,Active,0.59,Managed,2026-08-08
C005,A016,Partial,0.77,Managed,2026-04-15
C006,A016,Partial,0.4,Developing,2026-08-12
C009,A016,Active,0.71,Defined,2026-03-26
C010,A016,Planned,0.51,Defined,2026-07-07
C001,A017,Partial,0.26,Defined,2025-12-01
C003,A017,Planned,0.56,Defined,2026-04-03
C004,A017,Active,0.86,Defined,2025-12-06
C005,A017,Active,0.34,Defined,2026-06-15
C006,A017,Planned,0.62,Defined,2025-11-13
C009,A017,Active,0.86,Managed,2025-11-03
C010,A017,Planned,0.31,Developing,2026-07-06
C001,A018,Active,0.88,Developing,2026-06-26
C003,A018,Active,0.31,Developing,2026-04-28
C004,A018,Partial,0.37,Developing,2026-08-06
C005,A018,Partial,0.27,Defined,2025-10-03
C006,A018,Active,0.76,Managed,2026-08-20
C009,A018,Active,0.98,Developing,2026-03-07
C010,A018,Partial,0.97,Initial,2026-08-22
C001,A019,Active,0.82,Defined,2026-05-15
C002,A019,Active,0.71,Defined,2025-10-05
C003,A019,Active,0.36,Developing,2026-06-05
C004,A019,Active,0.74,Defined,2026-08-07
C005,A019,Active,0.92,Managed,2025-11-28
C006,A019,Inactive,0.29,Developing,2025-10-07
C009,A019,Active,0.71,Developing,2026-04-23
C010,A019,Active,0.66,Managed,2026-02-18
C001,A020,Active,0.96,Managed,2026-01-18
C002,A020,Planned,0.5,Defined,2026-03-05
C003,A020,Active,0.39,Defined,2025-12-17
C004,A020,Partial,0.95,Defined,2026-08-06
C005,A020,Active,0.45,Defined,2026-08-25
C006,A020,Partial,0.86,Initial,2026-05-01
C009,A020,Active,0.32,Defined,2025-10-02
C010,A020,Partial,0.7,Defined,2025-11-05
C001,A021,Active,0.7,Defined,2026-03-17
C002,A021,Planned,0.27,Defined,2026-05-19
C003,A021,Partial,0.76,Defined,2026-05-27
C004,A021,Active,0.55,Managed,2026-01-27
C005,A021,Partial,0.65,Developing,2026-04-01
C006,A021,Planned,0.54,Defined,2026-01-02
C009,A021,Active,0.79,Managed,2025-11-11
C010,A021,Inactive,0.64,Initial,2026-03-31
C001,A022,Active,0.95,Defined,2026-04-11
C002,A022,Active,0.54,Defined,2026-01-25
C003,A022,Active,0.79,Defined,2025-12-08
C004,A022,Partial,0.98,Developing,2025-12-28
C005,A022,Partial,0.62,Defined,2026-05-24
C006,A022,Active,0.33,Defined,2025-12-29
C008,A022,Planned,0.42,Developing,2026-07-24
C009,A022,Planned,0.47,Developing,2026-06-02
C010,A022,Active,0.36,Managed,2025-12-31
C001,A023,Active,0.34,Developing,2026-06-30
C002,A023,Active,0.78,Defined,2026-08-29
C003,A023,Planned,0.97,Defined,2026-06-09
C004,A023,Partial,0.25,Developing,2026-08-07
C005,A023,Active,0.79,Managed,2026-02-13
C006,A023,Active,0.55,Defined,2026-01-06
C009,A023,Partial,0.36,Developing,2025-11-17
C010,A023,Partial,0.89,Defined,2026-08-06
C001,A024,Partial,0.82,Managed,2026-08-21
C002,A024,Partial,0.59,Managed,2026-05-01
C003,A024,Active,0.36,Developing,2026-03-13
C004,A024,Partial,0.55,Initial,2025-12-28
C005,A024,Active,0.66,Defined,2026-02-16
C006,A024,Active,0.88,Defined,2025-10-28
C007,A024,Active,0.62,Defined,2026-03-13
C009,A024,Active,0.52,Defined,2026-05-29
C010,A024,Active,0.58,Defined,2025-11-22
C001,A025,Planned,0.65,Defined,2026-02-17
C002,A025,Inactive,0.67,Defined,2026-05-30
C003,A025,Active,0.56,Developing,2026-07-16
C004,A025,Active,0.79,Managed,2026-06-09
C005,A025,Partial,0.65,Developing,2026-07-02
C006,A025,Active,0.8,Developing,2026-05-18
C009,A025,Active,0.31,Defined,2026-08-09
C010,A025,Partial,0.87,Defined,2025-11-11
C001,A026,Planned,0.37,Defined,2026-08-07
C002,A026,Active,0.89,Defined,2026-02-16
C003,A026,Partial,0.73,Defined,2026-04-05
C004,A026,Partial,0.51,Developing,2026-03-17
C005,A026,Planned,0.75,Defined,2026-08-14
C006,A026,Active,0.51,Managed,2026-05-17
C009,A026,Active,0.65,Defined,2026-07-03
C010,A026,Active,0.31,Initial,2026-05-04
C001,A027,Active,0.86,Initial,2026-02-02
C002,A027,Active,0.34,Defined,2026-04-24
C003,A027,Active,0.8,Defined,2026-01-26
C004,A027,Active,0.68,Defined,2026-07-26
C005,A027,Partial,0.31,Defined,2026-04-26
C006,A027,Active,0.29,Developing,2026-04-22
C008,A027,Active,0.53,Managed,2026-03-30
C009,A027,Active,0.86,Initial,2026-01-01
C010,A027,Active,0.52,Defined,2025-10-25
C001,A028,Active,0.44,Developing,2025-10-19
C002,A028,Planned,0.26,Initial,2026-06-08
C003,A028,Active,0.27,Defined,2026-05-29
C004,A028,Partial,0.41,Developing,2025-10-14
C005,A028,Active,0.27,Managed,2025-12-14
C006,A028,Planned,0.78,Defined,2025-10-26
C009,A028,Active,0.67,Developing,2026-01-14
C010,A028,Active,0.8,Developing,2025-10-16
C001,A029,Partial,0.45,Managed,2026-07-18
C003,A029,Active,0.39,Defined,2026-04-03
C004,A029,Active,0.84,Initial,2025-10-23
C005,A029,Active,0.63,Defined,2026-04-16
C006,A029,Inactive,0.38,Developing,2026-08-02
C009,A029,Planned,0.28,Defined,2026-06-12
C010,A029,Active,0.62,Defined,2026-05-02
C001,A030,Planned,0.27,Defined,2026-06-11
C002,A030,Active,0.36,Defined,2025-11-07
C003,A030,Partial,0.77,Developing,2026-04-28
C004,A030,Active,0.86,Defined,2026-03-19
C005,A030,Active,0.5,Developing,2025-12-18
C006,A030,Active,0.92,Developing,2025-10-26
C009,A030,Planned,0.97,Defined,2026-06-28
C010,A030,Active,0.86,Defined,2026-01-16
C001,A031,Partial,0.44,Defined,2026-06-13
C003,A031,Partial,0.63,Developing,2026-07-26
C004,A031,Active,0.9,Developing,2026-01-08
C005,A031,Active,0.25,Managed,2025-12-21
C006,A031,Active,0.83,Developing,2026-06-16
C009,A031,Active,0.74,Developing,2026-08-28
C010,A031,Planned,0.41,Defined,2025-12-24
C001,A032,Active,0.85,Developing,2026-05-30
C002,A032,Planned,0.97,Defined,2026-05-11
C003,A032,Planned,0.28,Defined,2026-07-21
C004,A032,Partial,0.28,Defined,2026-06-17
C005,A032,Active,0.8,Developing,2026-04-15
C006,A032,Active,0.65,Defined,2026-01-29
C009,A032,Active,0.83,Developing,2026-04-04
C010,A032,Active,0.73,Developing,2026-08-30
C001,A033,Planned,0.37,Defined,2026-02-01
C003,A033,Active,0.5,Defined,2026-05-21
C004,A033,Active,0.29,Defined,2025-12-28
C005,A033,Planned,0.36,Defined,2025-10-16
C006,A033,Partial,0.96,Managed,2025-12-01
C009,A033,Inactive,0.95,Developing,2026-08-19
C010,A033,Planned,0.41,Defined,2025-11-08
C001,A034,Partial,0.9,Defined,2025-11-28
C003,A034,Active,0.81,Defined,2026-08-19
C004,A034,Active,0.75,Managed,2026-06-04
C005,A034,Active,0.53,Defined,2026-07-02
C006,A034,Partial,0.5,Defined,2026-08-02
C009,A034,Active,0.85,Defined,2026-03-18
C010,A034,Partial,0.55,Managed,2026-06-03
C001,A035,Partial,0.76,Defined,2026-06-04
C002,A035,Active,0.62,Defined,2026-04-16
C003,A035,Partial,0.88,Developing,2025-12-08
C004,A035,Partial,0.96,Initial,2026-05-19
C005,A035,Active,0.31,Defined,2025-10-16
C006,A035,Active,0.29,Defined,2026-01-31
C008,A035,Planned,0.39,Developing,2026-04-15
C009,A035,Active,0.69,Defined,2026-07-26
C010,A035,Active,0.92,Managed,2026-03-05
C001,A036,Active,0.95,Managed,2026-07-24
C002,A036,Partial,0.49,Initial,2026-05-29
C003,A036,Partial,0.52,Defined,2026-08-29
C004,A036,Active,0.31,Developing,2026-08-07
C005,A036,Active,0.27,Defined,2026-02-11
C006,A036,Partial,0.31,Initial,2026-05-31
C009,A036,Active,0.27,Defined,2026-02-02
C010,A036,Active,0.54,Developing,2025-12-09
C001,A037,Planned,0.45,Developing,2026-07-17
C003,A037,Partial,0.99,Managed,2026-01-10
C004,A037,Planned,0.95,Developing,2026-08-25
C005,A037,Partial,0.44,Developing,2026-05-11
C006,A037,Inactive,0.39,Managed,2025-10-18
C009,A037,Active,0.91,Managed,2026-08-16
C010,A037,Inactive,0.98,Developing,2025-11-25
C001,A038,Active,0.48,Initial,2026-02-14
C002,A038,Partial,0.65,Defined,2026-03-10
C003,A038,Planned,0.36,Managed,2025-11-02
C004,A038,Inactive,0.82,Managed,2025-12-28
C005,A038,Active,0.4,Managed,2026-03-05
C006,A038,Active,1.0,Developing,2026-05-10
C008,A038,Active,0.88,Managed,2026-01-01
C009,A038,Partial,0.25,Managed,2025-10-06
C010,A038,Partial,0.98,Managed,2025-11-09
C001,A039,Planned,0.97,Developing,2026-01-02
C003,A039,Active,0.87,Developing,2026-03-24
C004,A039,Active,0.72,Initial,2025-12-08
C005,A039,Partial,0.48,Developing,2025-11-23
C006,A039,Partial,0.49,Managed,2026-03-24
C009,A039,Partial,0.6,Managed,2025-10-02
C010,A039,Partial,0.32,Defined,2025-11-25
C001,A040,Partial,0.56,Developing,2026-05-28
C002,A040,Active,0.43,Initial,2026-08-03
C003,A040,Partial,0.85,Defined,2026-01-17
C004,A040,Active,0.89,Defined,2026-03-14
C005,A040,Planned,0.29,Developing,2025-11-25
C006,A040,Active,0.87,Managed,2026-04-19
C007,A040,Active,0.34,Defined,2026-03-18
C009,A040,Active,0.83,Defined,2026-08-04
C010,A040,Inactive,0.95,Defined,2025-11-26
C001,A041,Planned,0.3,Developing,2025-12-05
C002,A041,Partial,0.94,Developing,2026-01-29
C003,A041,Active,0.68,Developing,2026-04-04
C004,A041,Partial,0.59,Defined,2026-03-04
C005,A041,Active,0.32,Managed,2026-04-02
C006,A041,Active,0.39,Developing,2026-02-12
C007,A041,Partial,0.99,Managed,2026-08-23
C009,A041,Active,0.26,Defined,2026-03-06
C010,A041,Planned,0.79,Managed,2026-07-14
C001,A042,Active,0.27,Developing,2026-02-06
C002,A042,Active,0.97,Defined,2026-06-02
C003,A042,Active,0.84,Developing,2026-08-14
C004,A042,Active,0.7,Managed,2026-02-15
C005,A042,Partial,0.25,Defined,2026-07-26
C006,A042,Active,0.39,Defined,2026-08-28
C007,A042,Partial,0.73,Defined,2026-03-12
C009,A042,Active,0.74,Defined,2026-08-03
C010,A042,Active,0.34,Developing,2025-10-22
C001,A043,Planned,0.65,Initial,2026-06-25
C002,A043,Active,0.38,Developing,2025-11-06
C003,A043,Active,0.37,Developing,2026-03-16
C004,A043,Partial,0.6,Defined,2025-11-01
C005,A043,Inactive,0.95,Defined,2026-03-19
C006,A043,Inactive,0.54,Defined,2026-08-24
C009,A043,Active,0.6,Defined,2025-11-16
C010,A043,Partial,0.56,Managed,2025-12-23
C001,A044,Planned,0.64,Defined,2026-04-17
C002,A044,Partial,0.62,Defined,2026-03-02
C003,A044,Active,0.33,Defined,2026-05-02
C004,A044,Partial,0.35,Managed,2026-02-19
C005,A044,Partial,0.62,Managed,2025-11-03
C006,A044,Inactive,0.93,Developing,2026-05-09
C008,A044,Partial,0.5,Defined,2026-05-27
C009,A044,Partial,0.56,Defined,2026-01-23
C010,A044,Active,0.44,Developing,2026-03-20
C001,A045,Planned,0.93,Defined,2026-08-20
C002,A045,Active,0.95,Developing,2025-12-20
C003,A045,Active,0.75,Defined,2025-11-17
C004,A045,Partial,0.3,Defined,2025-12-14
C005,A045,Partial,0.39,Defined,2026-07-06
C006,A045,Partial,0.41,Initial,2026-07-17
C009,A045,Partial,0.46,Defined,2026-05-13
C010,A045,Active,0.76,Developing,2026-08-12
C001,A046,Active,0.87,Developing,2026-05-25
C003,A046,Active,0.3,Defined,2026-03-01
C004,A046,Planned,0.94,Defined,2026-02-15
C005,A046,Partial,0.77,Defined,2025-10-12
C006,A046,Active,0.81,Defined,2026-01-12
C009,A046,Active,0.61,Managed,2026-05-05
C010,A046,Partial,0.73,Initial,2026-01-14
C001,A047,Partial,0.99,Defined,2025-11-13
C002,A047,Active,0.42,Initial,2025-12-03
C003,A047,Planned,0.83,Managed,2025-12-25
C004,A047,Planned,0.89,Developing,2026-08-03
C005,A047,Active,0.75,Defined,2025-11-10
C006,A047,Partial,0.53,Defined,2026-04-05
C007,A047,Planned,0.62,Defined,2025-11-15
C009,A047,Partial,0.84,Defined,2026-01-04
C010,A047,Partial,0.29,Developing,2026-07-24
C001,A048,Active,0.82,Defined,2026-01-01
C002,A048,Partial,0.43,Defined,2025-11-03
C003,A048,Active,0.41,Defined,2026-05-29
C004,A048,Active,0.92,Defined,2026-04-26
C005,A048,Partial,0.26,Defined,2026-08-18
C006,A048,Planned,0.49,Defined,2026-03-24
C009,A048,Active,0.64,Defined,2026-03-29
C010,A048,Planned,0.57,Developing,2026-06-19
C001,A049,Inactive,0.64,Managed,2026-01-27
C003,A049,Active,0.89,Managed,2026-05-06
C004,A049,Active,0.54,Defined,2026-04-05
C005,A049,Partial,0.44,Developing,2025-11-26
C006,A049,Active,0.43,Defined,2025-12-07
C009,A049,Partial,0.84,Developing,2026-06-23
C010,A049,Planned,0.38,Developing,2026-08-01
C001,A050,Active,0.3,Defined,2026-08-09
C002,A050,Planned,0.43,Defined,2026-09-01
C003,A050,Active,0.47,Defined,2026-03-16
C004,A050,Active,0.39,Defined,2026-04-23
C005,A050,Active,0.6,Developing,2026-02-21
C006,A050,Partial,0.67,Defined,2026-06-06
C007,A050,Partial,0.96,Managed,2026-03-28
C009,A050,Planned,0.38,Managed,2026-07-23
C010,A050,Partial,0.69,Initial,2026-02-06
C001,A051,Partial,0.52,Initial,2026-07-31
C002,A051,Partial,0.78,Defined,2026-04-06
C003,A051,Active,0.89,Developing,2026-07-11
C004,A051,Partial,0.3,Defined,2026-05-23
C005,A051,Planned,0.34,Initial,2026-08-07
C006,A051,Active,0.68,Defined,2026-01-12
C009,A051,Partial,0.68,Managed,2026-02-27
C010,A051,Planned,0.25,Defined,2026-07-01
C001,A052,Active,0.68,Defined,2025-12-04
C002,A052,Active,0.94,Developing,2026-03-01
C003,A052,Active,0.96,Defined,2026-02-03
C004,A052,Planned,0.57,Managed,2026-04-06
C005,A052,Partial,0.63,Developing,2026-02-04
C006,A052,Active,0.76,Initial,2026-06-30
C009,A052,Active,0.31,Managed,2026-06-01
C010,A052,Active,0.93,Developing,2026-04-21
C001,A053,Partial,0.7,Managed,2025-10-26
C002,A053,Active,0.75,Developing,2026-01-03
C003,A053,Active,0.36,Developing,2026-04-15
C004,A053,Active,0.64,Initial,2025-11-05
C005,A053,Active,0.32,Defined,2026-06-05
C006,A053,Active,0.39,Managed,2026-03-15
C008,A053,Active,0.76,Developing,2026-01-15
C009,A053,Planned,0.4,Developing,2026-04-09
C010,A053,Partial,0.54,Defined,2025-10-27
C001,A054,Planned,0.75,Developing,2026-01-06
C002,A054,Active,0.41,Managed,2026-08-30
C003,A054,Planned,0.63,Initial,2026-03-30
C004,A054,Planned,0.34,Developing,2026-02-27
C005,A054,Partial,0.42,Developing,2025-10-05
C006,A054,Planned,0.58,Defined,2026-04-18
C009,A054,Active,0.88,Developing,2026-06-26
C010,A054,Active,0.88,Developing,2026-03-21
C001,A055,Partial,0.6,Defined,2026-06-18
C002,A055,Active,0.99,Managed,2025-11-24
C003,A055,Active,0.26,Developing,2025-11-19
C004,A055,Active,0.97,Defined,2026-05-13
C005,A055,Planned,0.68,Managed,2026-03-23
C006,A055,Active,0.62,Defined,2026-01-06
C007,A055,Partial,0.89,Defined,2026-01-06
C009,A055,Partial,0.91,Managed,2026-07-10
C010,A055,Active,0.29,Defined,2026-04-22
C001,A056,Active,0.55,Managed,2026-04-12
C003,A056,Partial,0.73,Developing,2026-03-19
C004,A056,Active,0.78,Managed,2026-08-20
C005,A056,Planned,0.38,Developing,2026-01-17
C006,A056,Active,0.77,Developing,2026-08-05
C009,A056,Planned,0.39,Developing,2026-03-24
C010,A056,Active,0.85,Initial,2025-10-07
C001,A057,Planned,0.49,Defined,2025-10-09
C002,A057,Planned,0.48,Developing,2026-07-14
C003,A057,Active,0.62,Managed,2026-03-23
C004,A057,Partial,0.82,Managed,2026-06-24
C005,A057,Planned,0.25,Defined,2025-11-07
C006,A057,Partial,0.37,Developing,2026-01-31
C009,A057,Active,0.56,Defined,2025-11-07
C010,A057,Inactive,0.7,Managed,2026-02-05
C001,A058,Active,0.8,Defined,2026-03-26
C002,A058,Active,0.88,Developing,2025-12-13
C003,A058,Partial,0.55,Developing,2026-07-10
C004,A058,Partial,0.98,Defined,2026-01-30
C005,A058,Active,0.84,Defined,2026-01-04
C006,A058,Partial,0.9,Defined,2026-04-02
C007,A058,Partial,0.45,Defined,2025-11-18
C009,A058,Active,0.32,Defined,2025-11-25
C010,A058,Inactive,0.67,Initial,2025-10-29
C001,A059,Partial,0.84,Managed,2026-08-24
C002,A059,Partial,0.7,Defined,2026-03-22
C003,A059,Inactive,0.36,Defined,2026-04-03
C004,A059,Planned,0.62,Defined,2025-12-26
C005,A059,Active,0.93,Defined,2026-06-24
C006,A059,Active,0.8,Defined,2026-05-29
C009,A059,Active,0.3,Developing,2026-03-19
C010,A059,Active,0.49,Developing,2026-06-03
C001,A060,Partial,0.26,Defined,2025-11-20
C002,A060,Partial,0.58,Developing,2026-05-21
C003,A060,Partial,0.5,Defined,2026-04-08
C004,A060,Active,0.27,Defined,2026-04-16
C005,A060,Active,0.81,Defined,2026-02-22
C006,A060,Planned,0.56,Defined,2026-05-26
C007,A060,Partial,0.76,Initial,2026-05-01
C009,A060,Planned,0.71,Developing,2026-07-03
C010,A060,Partial,0.79,Defined,2026-08-29
C001,A061,Partial,0.96,Managed,2026-06-17
C003,A061,Active,0.44,Initial,2026-01-08
C004,A061,Partial,0.53,Developing,2025-10-21
C005,A061,Planned,0.49,Defined,2026-02-22
C006,A061,Partial,0.32,Developing,2026-08-19
C009,A061,Active,0.36,Developing,2026-03-06
C010,A061,Planned,0.61,Managed,2026-06-29
C001,A062,Partial,0.78,Managed,2026-03-13
C002,A062,Partial,0.86,Developing,2026-03-12
C003,A062,Active,0.46,Managed,2026-06-23
C004,A062,Active,0.4,Defined,2025-12-01
C005,A062,Active,0.81,Developing,2025-10-16
C006,A062,Active,0.59,Initial,2026-03-22
C008,A062,Active,0.41,Developing,2026-04-09
C009,A062,Partial,0.6,Managed,2025-11-04
C010,A062,Active,0.51,Defined,2026-04-04
C001,A063,Active,0.42,Managed,2026-06-29
C002,A063,Partial,0.76,Developing,2026-08-04
C003,A063,Planned,0.89,Developing,2026-01-08
C004,A063,Active,0.75,Managed,2025-12-29
C005,A063,Planned,0.55,Defined,2026-01-13
C006,A063,Partial,0.53,Defined,2026-06-12
C007,A063,Partial,0.84,Defined,2026-07-02
C009,A063,Inactive,0.41,Defined,2025-11-28
C010,A063,Planned,0.74,Defined,2026-08-30
C001,A064,Active,0.96,Defined,2025-10-17
C002,A064,Partial,0.82,Defined,2026-02-06
C003,A064,Active,0.59,Defined,2026-07-09
C004,A064,Partial,0.9,Developing,2026-01-07
C005,A064,Partial,0.44,Developing,2026-05-30
C006,A064,Planned,0.68,Developing,2025-12-16
C009,A064,Planned,0.62,Managed,2026-04-16
C010,A064,Active,0.68,Developing,2026-08-06
C001,A065,Partial,0.41,Initial,2026-06-01
C003,A065,Planned,0.97,Defined,2026-01-11
C004,A065,Active,0.5,Developing,2026-02-19
C005,A065,Active,0.54,Developing,2026-06-16
C006,A065,Active,0.96,Defined,2026-05-28
C009,A065,Planned,0.82,Managed,2026-08-07
C010,A065,Active,0.92,Developing,2026-08-31
C001,A066,Active,0.55,Defined,2026-08-06
C002,A066,Planned,0.79,Defined,2026-08-10
C003,A066,Partial,0.71,Defined,2026-06-06
C004,A066,Planned,0.56,Developing,2026-08-13
C005,A066,Partial,0.77,Managed,2026-06-06
C006,A066,Active,0.62,Managed,2026-05-04
C009,A066,Active,0.78,Developing,2026-07-11
C010,A066,Planned,0.58,Developing,2026-02-27
C001,A067,Active,0.8,Managed,2026-04-03
C002,A067,Partial,0.95,Defined,2026-08-08
C003,A067,Partial,0.85,Defined,2026-08-20
C004,A067,Active,0.67,Developing,2025-10-02
C005,A067,Active,0.71,Initial,2026-06-16
C006,A067,Planned,0.62,Initial,2026-08-28
C009,A067,Active,0.85,Developing,2026-08-25
C010,A067,Planned,0.52,Managed,2026-02-26
C001,A068,Active,0.44,Defined,2025-11-04
C002,A068,Active,0.44,Developing,2026-03-20
C003,A068,Active,0.96,Developing,2025-12-10
C004,A068,Partial,0.27,Developing,2026-07-27
C005,A068,Active,0.3,Defined,2026-04-03
C006,A068,Partial,0.35,Defined,2026-04-03
C007,A068,Partial,0.5,Developing,2026-05-08
C009,A068,Active,0.42,Defined,2026-08-29
C010,A068,Active,0.48,Defined,2026-03-09
C001,A069,Partial,0.83,Defined,2026-01-31
C002,A069,Partial,0.9,Developing,2026-07-22
C003,A069,Planned,0.34,Developing,2025-10-12
C004,A069,Planned,0.97,Developing,2025-11-20
C005,A069,Inactive,0.85,Developing,2026-04-17
C006,A069,Partial,0.5,Developing,2026-04-14
C009,A069,Partial,0.36,Initial,2026-08-27
C010,A069,Partial,0.5,Developing,2026-07-07
C001,A070,Active,1.0,Developing,2026-07-27
C002,A070,Active,0.51,Defined,2025-12-28
C003,A070,Planned,0.98,Managed,2026-06-29
C004,A070,Partial,0.53,Defined,2025-10-24
C005,A070,Inactive,0.57,Managed,2026-06-07
C006,A070,Active,0.69,Defined,2025-12-28
C007,A070,Active,0.79,Developing,2026-02-15
C009,A070,Planned,0.95,Managed,2026-08-25
C010,A070,Partial,0.82,Managed,2025-12-11
