source_asset,destination_asset,relationship,access_type
A042,A018,routes_to,API
A129,A038,trusts,SSH
A001,A013,routes_to,HTTPS
A044,A055,routes_to,API
A002,A023,trusts,RDP
A125,A137,connects_to,SSH
A025,A027,routes_to,API
A058,A069,trusts,HTTPS
A144,A083,connects_to,HTTPS
A125,A057,trusts,HTTPS
A142,A129,routes_to,HTTPS
A072,A006,routes_to,API
A117,A069,connects_to,Internal
A095,A004,depends_on,Database
A082,A019,connects_to,Database
A070,A042,depends_on,HTTPS
A033,A012,connects_to,Internal
A104,A041,connects_to,HTTPS
A002,A056,replicates,RDP
A046,A011,trusts,Internal
A033,A148,trusts,Internal
